,0
0,4497.294688137714
1,-4685.282773527084
2,13168.669538511895
3,7482.536385998363
4,-2015.037563594291
5,275.8228400363587
6,-4397.250387841603
7,5915.282590311253
8,242.3198588360101
9,2393.519579746062
10,-12310.624415400205
11,-10721.074948955327
12,-4345.658519020071
13,22704.04870504234
14,6943.554972064681
15,7583.606967286672
16,899.6293342765421
17,4256.613304908387
18,8214.17140050605
19,3220.924090634333
20,-6114.5789060848765
21,8206.996550096665
22,-22879.814525344176
23,-4373.150816376088
24,16045.842072220054
25,2912.3664994779974
26,7873.557236924535
27,9601.202338177012
28,9107.434813566972
29,-1188.193564425921
30,4734.741354367463
31,-882.6549298954196
32,3839.741869530175
33,-1636.36709589581
34,-5846.103589902399
35,8580.097305744188
36,-6485.016343182884
37,-5390.446444686037
38,-1369.9694811869413
39,5798.361214671517
40,-16506.12623140798
41,1335.6559308290016
42,11978.04576822347
43,-1830.9028776213527
44,5752.776010825997
45,-4613.265370436478
46,4070.7487163660116
47,6231.587532926351
48,3581.1700903237797
49,-377.498643447645
50,-9248.945866890252
51,-394.14478466892615
52,13363.666162890382
53,-15205.518904970493
54,-10680.3594148478
55,-5480.709209335269
56,-18573.118561549578
57,11152.03985364805
58,-23140.851044967538
59,10858.302194096148
60,8926.142038564896
61,17002.69727284368
