,0
0,1518479.5177310458
1,1520354.5163062108
2,1525172.0742212706
3,1537155.3494883666
4,1521122.4471269604
5,1520671.6962807316
6,1530479.9725552802
7,1519271.694527238
8,1513035.1243304592
9,1514936.6348993487
10,1520082.1123440445
11,1527994.2268433883
12,1533660.8607230338
13,1526752.5738322546
14,1536100.5237506048
15,1548949.372737636
16,1541308.5414224563
17,1546475.5382931705
18,1547230.3866181518
19,1560640.996929972
20,1548010.4608669928
21,1541900.4634846807
22,1545216.0420018646
23,1559549.4864793727
24,1575149.076803772
25,1573951.8145321687
26,1581873.4634366797
27,1574966.988479926
28,1577985.8954777475
29,1591929.8212742785
30,1604140.1147365419
31,1610327.4289289876
32,1619762.9961885498
33,1631848.770643225
34,1635691.0087830941
35,1622339.4134968023
36,1615596.4910239815
37,1610847.9533710708
38,1612581.3432991274
39,1618128.4124639202
40,1627514.0507725687
41,1628747.837189377
42,1618731.4328047545
43,1614013.4566787067
44,1627675.947963557
45,1629480.6246747763
46,1630550.6342446967
47,1613684.2680092566
48,1615612.6725360067
49,1613487.8517177876
50,1623865.9152143146
51,1616475.937833715
52,1611948.5230482076
53,1604447.7052183757
54,1598578.8631389667
55,1573803.1471978603
56,1534410.259250923
57,1536549.4685955448
58,1531905.868400048
59,1541280.5285533168
60,1541581.2967350117
61,1539466.788231212
62,1546631.4096458897
