,0
0,996916.3744001122
1,1009455.5492645402
2,1029501.3605898676
3,1012524.0356012905
4,999084.8915570793
5,1005219.0271111376
6,981666.9939189104
7,985650.9697054288
8,972437.3778553254
9,994812.7142750317
10,1010449.3524148986
11,1010987.814785021
12,1020876.1712131308
13,1037427.2138272716
14,1053470.8815005587
15,1064356.4609684981
16,1095356.2685894757
17,1101329.577924649
18,1107628.7762562055
19,1072838.8672977088
20,1055668.7922617884
21,1043394.118308369
22,1051610.4868600138
23,1047016.8060352997
24,1050605.0376478243
25,1056385.4851949469
26,1019533.409029991
27,1051720.8100410793
28,1014920.9602703875
29,1013300.2244399154
30,1013325.8750694381
31,1005611.2976497852
32,999737.3079160386
33,971537.7876145245
34,952456.0729320383
35,982792.9274516628
36,986205.9181609743
37,972897.736520068
38,956969.8771294737
39,975143.1498762338
40,973153.7945787671
41,981358.4591163798
42,983014.6784919092
43,991524.5271585514
44,972701.5286945109
45,979696.9300231865
46,981818.217848805
47,989021.861630218
48,983130.5911392131
49,989317.3808923608
50,1000273.8896488994
51,1037386.2749684649
52,1039199.3263076949
53,1004164.4115774963
54,973674.7420725453
55,958307.6526423992
56,917128.9648505263
57,936693.3797484791
58,912528.5627581973
59,928534.1505604673
60,944313.0534251505
61,944079.450522626
62,952210.3401322446
