,0
0,1000000.0
1,998792.7880664248
2,1004523.1249823112
3,1025998.1829651132
4,1012134.316456428
5,1018525.5474443437
6,995133.5561825302
7,964385.1181302773
8,935819.4614326627
9,898168.6522023887
10,898956.2775813644
11,915025.318521491
12,888060.0564437316
13,851595.4640667669
14,849247.5021237289
15,844244.5674535042
16,843550.1364394379
17,874421.6347772484
18,878045.8372796373
19,892292.6732319938
20,873462.7802608823
21,881373.9725916276
22,862642.142067969
23,879335.3647480925
24,878013.4403809604
25,884505.3970882891
26,902519.3409240453
27,916069.9501817266
28,882856.9930297702
29,882100.0397934662
30,870985.907975339
31,880546.206210247
32,862118.0997223284
33,839598.56776769
34,834700.4991636103
35,837128.8760375088
36,824092.6625627256
37,813535.1286364752
38,818736.1676441205
39,807855.8288973711
40,812349.911701087
41,803922.0873350992
42,770704.4181476692
43,758472.7991504278
44,783871.5471432497
45,762597.5823920877
46,754676.8560849545
47,742227.4550211417
48,758551.6658110933
49,765442.8207104395
50,777659.0105384865
51,790574.3444697937
52,816714.3543684491
53,814596.743918972
54,824600.5939154992
55,823218.0242395058
56,824913.8046803785
57,843105.9761423508
58,843263.7546786519
59,840579.2401674587
60,833654.4345806234
61,826108.7004566581
62,806306.942517742
63,828609.279028457
64,841394.6075005525
65,875177.6544842958
66,871055.087184531
67,861943.128010809
68,849716.6419288098
69,847846.8993698425
70,857185.7204282358
71,862193.5688163273
72,872319.0205482569
73,875136.1032419334
74,870922.7022948889
75,885343.049744125
76,881953.776172201
77,843975.6509638766
78,856537.6194085204
79,852036.8247934857
80,859949.4541032264
81,880436.9977813644
82,878940.6108929527
83,873482.1399339236
84,892352.6294359562
85,905501.2003059294
86,902793.8041580529
87,917901.3037611272
88,919566.2216153841
89,919416.9746921997
90,914738.8100845631
91,922466.9890271507
92,917948.5406034703
93,925928.3106095924
94,917110.945096503
95,914431.1404477047
96,918529.9802424357
97,926518.35244139
98,929636.7380237072
99,936208.0480686657
100,932262.3722573807
101,931373.6133442387
102,931801.4923356423
103,926172.0439118256
104,924861.9287357455
105,919694.9308702613
106,930560.8645283756
107,951741.0119392092
108,953111.206128398
109,941462.8846930384
110,938274.9831030329
111,933254.4051248122
112,931082.4116903602
113,943201.0918543423
114,948994.4084216713
115,956633.1457153345
116,955179.3427678936
117,933343.7245765995
118,938282.0911031778
119,931569.604172078
120,923175.8541325477
121,947563.8033384617
122,923798.1308525025
123,926799.3601213497
124,926785.1978510909
125,925864.0379870787
126,930799.6993303752
127,939774.2485303181
128,928788.7194066668
129,937469.0998540332
130,920571.6767220286
131,919887.273886523
132,908731.5719810238
133,905363.6802257268
134,899570.5057436627
135,912301.1842598238
136,904918.1809041766
137,913027.6356547305
138,924703.671443189
139,942643.6906242702
140,946958.8884595961
141,943187.9117199471
142,962616.182385252
143,970527.0486221667
144,963590.4030273951
145,978955.7663742006
146,978619.6898643206
147,977527.6518832163
148,972385.7030537035
149,959043.258935549
150,981951.9725354235
151,1002815.1512687447
152,1044505.2936042564
153,1056718.3904769816
154,1058166.4390590857
155,1050777.4434776306
156,1039225.2843939614
157,1036934.3044418307
158,1012074.6696677508
159,997268.8369582125
160,1023417.7525801775
161,1044152.6164263294
162,1018244.4177649063
163,1029848.2671062914
164,1010630.8350641928
165,1014143.181011376
166,1067215.3437361182
167,1105886.8869821194
168,1093354.3806549893
169,1087482.8587444704
170,1096571.0186139322
171,1133760.6199343854
172,1110606.8725618916
173,1083020.4515592856
174,1029954.6758524117
175,1026482.508213729
176,1060106.4058900834
177,1071977.2562821817
178,1074482.8804981967
179,1080086.6686532972
180,1090563.214628859
181,1073641.3936409792
182,1067117.2976978123
183,1079311.5005663238
184,1105447.7910777815
185,1096352.7881415193
186,1094512.6092551607
187,1090267.1234399353
188,1107238.9682736376
189,1096279.5480818178
190,1060528.916942
191,1066208.0422603213
192,1075993.6510043126
193,1083240.3124348638
194,1087711.327753549
195,1066524.1711722163
196,1057110.4766221507
197,1068840.1181941188
198,1109521.319769261
199,1102426.2319952156
200,1126389.8651551118
201,1123105.713589307
202,1149800.9272632361
203,1141877.9729496145
204,1181547.908887691
205,1164051.5309752163
206,1155126.316871764
207,1165330.8091057753
208,1151950.5304646052
209,1159331.6442113286
210,1141877.1665669435
211,1161605.568193648
212,1135078.8713901332
213,1116256.5698014942
214,1078058.2131864452
215,1096386.9927063792
216,1083771.4107511812
217,1091429.002312495
218,1084968.5035318588
219,1105321.8159878962
220,1107224.2067947001
221,1100968.3479885587
222,1131999.1485995916
223,1128782.7168585924
224,1145268.3794419433
225,1116005.5313636102
226,1122846.4857473026
227,1150378.9565625624
228,1140833.1867577755
229,1150826.408201228
230,1134179.46307052
231,1121534.7683394006
232,1148900.03329374
233,1134942.944256321
234,1144067.6215058295
235,1111248.5576305452
236,1119597.9674929657
237,1123177.4335232705
238,1138796.879512207
239,1139205.7946435718
240,1126552.345588358
241,1128076.7461583363
242,1122372.655256676
243,1103987.3459945477
244,1095275.3047722161
245,1108482.9010139739
246,1103360.3563235574
247,1104345.3338403166
248,1095936.9063189789
249,1109501.1441711893
250,1082718.712966358
251,1085969.8935631986
252,1083227.0159053854
253,1086049.4555902074
254,1091243.5910069724
255,1094509.6984793125
256,1101529.7192409616
257,1101837.4579985295
258,1099033.8619844157
259,1102768.9158842673
260,1130876.9008006356
261,1134697.5334392507
