,0
0,8848.006650054129
1,21809.94652894151
2,-14666.273450078908
3,-11311.25275880855
4,5282.935190077289
5,-21592.78743297828
6,5156.559842382907
7,-11930.709980181418
8,19123.978370362194
9,13927.231668267166
10,2784.9082970079035
11,9815.261014953954
12,11866.823318393668
13,16974.660014992813
14,14299.518504822161
15,23149.470076488564
16,-5261.898224957287
17,-936.6396734844893
18,-32149.353946495336
19,-28959.351110012038
20,-16806.018806120963
21,3465.102197525208
22,12063.861871883739
23,-1734.7173110453878
24,25237.29487954057
25,-44743.617273230804
26,348.54651547793765
27,-29007.118672143086
28,-4155.970471568056
29,2885.1486218407517
30,2630.528098917217
31,-9383.115566536784
32,-56608.67206537025
33,-23997.058738004765
34,27239.179320209078
35,9665.363325914484
36,-6917.3656608790625
37,-11520.044291171129
38,13347.796613947605
39,6766.670166050433
40,26649.057883135858
41,21165.52834678651
42,4043.464701506775
43,-2195.469600029057
44,6381.875918729464
45,-17702.013445224147
46,-33422.88879102992
47,-41573.281321756775
48,26542.78000611905
49,31445.432676654775
50,34004.23489594273
51,19815.210185971577
52,-28686.619792649522
53,-25367.913958596066
54,6759.8825226109475
55,-40712.37284849782
56,45187.97015104303
57,-44061.00101115962
58,13749.839682536083
59,15049.961265344755
60,12485.546771788155
61,27715.807528514764
