,0
0,1035889.6469473938
1,1047740.36027064
2,1069550.3067995815
3,1054884.0333495026
4,1043572.780590694
5,1048855.7157807713
6,1027262.9283477931
7,1032419.488190176
8,1020488.7782099945
9,1039612.7565803567
10,1053539.988248624
11,1056324.8965456318
12,1066140.1575605858
13,1078006.9808789794
14,1094981.6408939722
15,1109281.1593987944
16,1132430.629475283
17,1127168.7312503257
18,1126232.0915768412
19,1094082.7376303459
20,1065123.3865203338
21,1048317.3677142129
22,1051782.469911738
23,1063846.3317836218
24,1062111.6144725764
25,1087348.909352117
26,1042605.2920788862
27,1042953.8385943641
28,1013946.719922221
29,1009790.749450653
30,1012675.8980724937
31,1015306.426171411
32,1005923.3106048742
33,949314.6385395039
34,925317.5798014991
35,952556.7591217082
36,962222.1224476227
37,955304.7567867436
38,943784.7124955725
39,957132.5091095201
40,963899.1792755706
41,990548.2371587064
42,1011713.7655054929
43,1015757.2302069997
44,1013561.7606069706
45,1019943.6365257001
46,1002241.623080476
47,968818.734289446
48,927245.4529676893
49,953788.2329738083
50,985233.6656504631
51,1019237.9005464058
52,1039053.1107323774
53,1010366.4909397279
54,984998.5769811318
55,991758.4595037427
56,951046.0866552449
57,996234.056806288
58,952173.0557951283
59,965922.8954776644
60,980972.8567430092
61,993458.4035147973
62,1021174.2110433121
