,0
0,1000000.0
1,999398.591220194
2,999368.3565360173
3,1006132.6651867543
4,1002006.5027511981
5,984311.8191305648
6,973767.1698680834
7,937543.9520517448
8,939232.0487786718
9,926980.0087936835
10,925590.3692497436
11,926927.7510219906
12,916505.5133282479
13,902747.4162290418
14,905161.8672678326
15,923723.9086447865
16,934939.1408525947
17,958764.5840196784
18,982458.8996683649
19,996560.232907109
20,978190.8579043016
21,973056.8308392197
22,960921.6252333971
23,958871.2590948583
24,955812.8145331303
25,960943.984404618
26,993855.502834656
27,1008790.0661467747
28,985734.7553377321
29,989191.3705232927
30,971414.1472137048
31,984447.9106023795
32,960546.9674177323
33,910080.5345781954
34,938859.5272465434
35,952326.3836483748
36,931207.4641114112
37,931179.3544703336
38,932624.7956288483
39,926103.7081911202
40,931712.5837057771
41,935500.2549613728
42,902239.1332636127
43,853514.9918758606
44,866245.5141307458
45,834960.0519374359
46,854953.3092719289
47,858573.0300271694
48,888818.7951447706
49,885779.8858880221
50,896176.423542853
51,892210.6187223285
52,870018.7144572418
53,876835.5418623423
54,899120.6497483836
55,918079.9701557793
56,908522.4460663961
57,926736.4487482959
58,939131.7228680304
59,942880.1263234019
60,942755.1408781472
61,908273.3707330928
62,879833.9849264264
63,903136.9014730129
64,922854.0934229945
65,945262.787094684
66,942851.9739640675
67,934686.1077651259
68,952371.5991653348
69,954252.7683937019
70,951966.3340948882
71,957154.4116344919
72,973525.7045774965
73,977104.2592854922
74,992813.9201977435
75,991163.3628751416
76,975889.0256905127
77,946083.7883514941
78,946895.2816981213
79,942993.8281160764
80,944871.1170361356
81,963226.9848916209
82,938000.6655887365
83,955049.541607019
84,983046.8699757104
85,984953.9188590085
86,1003156.1206436387
87,1016057.9820844625
88,1001626.2520533095
89,1021842.6584415653
90,1032205.539995694
91,1058205.7600369658
92,1048353.9582247615
93,1052328.5805112273
94,1034886.3712812155
95,983929.5955888003
96,1009407.0358330512
97,1060492.0836902703
98,1065579.593585335
99,1086396.0480243983
100,1074877.3490740345
101,1062970.5765147742
102,1062790.274869541
103,1016460.1128910239
104,1038247.6233392516
105,1032565.7702100537
106,1064564.697818459
107,1074135.9032450449
108,1092562.5379855097
109,1099726.5719362232
110,1110798.710986986
111,1109438.2369627988
112,1113537.7104491617
113,1177446.569571729
114,1153951.6888892418
115,1168455.736871714
116,1162385.7962286898
117,1131608.3235113418
118,1136272.1820493455
119,1141044.8077298335
120,1135218.918152069
121,1206803.9939051021
122,1110922.1428447962
123,1128227.0559232333
124,1137397.9733142576
125,1176503.168810981
126,1201490.1251452034
127,1190062.2861549172
128,1216614.060373209
129,1238866.6684358881
130,1236188.3596360197
131,1242305.4868211618
132,1254824.1305994627
133,1243547.717152413
134,1242387.6020274349
135,1334508.622932282
136,1308817.019418387
137,1294499.1976829532
138,1345326.530142626
139,1376451.9972765583
140,1408281.9372495005
141,1382332.2280416978
142,1425722.4654616334
143,1470633.215477339
144,1481808.3775392585
145,1500143.322884498
146,1544943.3074876189
147,1565772.7842238725
148,1551636.8623886046
