,0
0,-19292.677627149038
1,-595.7251832475886
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,738.3881702702492
17,-15.840687008108944
18,0.0
19,0.0
20,1072.6483613660093
21,-553.5863408907317
22,1876.6014874789398
23,-63.238688092678785
24,-112.82582192542031
25,-181.24600199609995
26,-2565.290519611677
27,-360.5470512835309
28,-1015.1132366133388
29,3584.878283465281
30,-1774.113699819427
31,-106.18521516537294
32,0.0
33,0.0
34,490.10509834997356
35,-2097.904085946968
36,594.3288218148518
37,-3648.009189645294
38,-147.917784771882
39,-241.23009690386243
40,-17.97154930396937
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
