,0
0,1616740.8535445954
1,1628225.608874119
2,1634265.7727838098
3,1630645.6932325675
4,1641022.7762532511
5,1656605.4846180547
6,1653203.4628096707
7,1644720.1248521209
8,1640790.337322945
9,1648142.9032614478
10,1672283.8598186625
11,1676912.7300203813
12,1687706.977513097
13,1684379.670273136
14,1675768.8787027532
15,1664281.5284042966
16,1647960.2682154337
17,1667886.0133092166
18,1674716.7846478932
19,1691874.1384552787
20,1689109.7448938708
21,1688967.805534678
22,1688850.270731455
23,1698711.5336835424
24,1728743.253280956
25,1753320.8050373658
26,1727215.168696392
27,1715383.5052314987
28,1711404.8530983382
29,1714736.960821406
30,1718641.0965675884
31,1726856.3794015972
32,1734773.284032996
33,1738805.0823479972
34,1749843.8888455129
35,1738136.7584609082
36,1747884.414635741
37,1755529.3694673395
38,1745346.579519672
39,1728790.834896856
40,1715175.11252756
41,1723236.4467641104
42,1703543.1984891465
43,1706359.4644334733
44,1689227.4562007322
45,1692591.1712133428
46,1693094.9859941977
47,1677002.9577179668
48,1670613.3569405193
49,1676798.7710203428
50,1681504.700512995
51,1672167.5865095065
52,1672518.0426672758
53,1658566.1991636367
54,1678734.1430844082
55,1633740.5800110546
56,1638115.3323517945
57,1644184.9921190008
58,1616017.166622914
59,1625287.2550890206
60,1613449.9232023768
61,1648758.7824286756
62,1666626.9214923456
