,0
0,1000000.0
1,999848.3688667767
2,1001276.3636621912
3,1008771.1356230142
4,1002913.258461548
5,1005802.8233602609
6,998403.9556147563
7,987263.92225609
8,976815.6736462155
9,964338.5918004804
10,965752.9960141596
11,972926.421956605
12,962834.7659938821
13,952033.8685618096
14,952059.4980621112
15,982291.4805374327
16,993956.711240855
17,1015496.6981154799
18,1017701.362706657
19,1027700.0277651758
20,1011633.3042563165
21,1014947.143007553
22,1008626.93161905
23,1021129.0373599781
24,996965.3150359431
25,996145.0804793196
26,1023041.9744654873
27,1037350.5591950594
28,1004308.8630580665
29,990981.4564341889
30,984081.9070572928
31,1001221.5794603834
32,974858.8136705976
33,942156.8271792408
34,930465.2028388747
35,940714.3717774996
36,916882.0245602797
37,912609.6578149224
38,909848.2370499662
39,888857.6734376745
40,905613.1458777466
41,890171.4339866296
42,856932.5563203053
43,826540.1039459928
44,839869.9204899714
45,791011.5892049448
46,808817.1593688147
47,815749.709068092
48,845583.0947892024
49,844001.6041781149
50,837569.388684114
51,836113.8642812537
52,842161.911529497
53,856316.505629806
54,882864.3729196277
55,901901.1297501941
56,897185.717317401
57,927483.0071216337
58,919329.3219835914
59,917303.0069542669
60,920811.3785750797
61,877047.3063296025
62,850269.8069974168
63,874569.6070681348
64,901057.3514930168
65,951521.262045759
66,960415.5231913326
67,966916.8553160576
68,926261.7300645593
69,917417.6612949787
70,959172.6354915439
71,961358.8379825242
72,973860.041509655
73,970019.162237062
74,962796.5006803918
75,993502.4441000379
76,1040631.8508148575
77,988589.859334405
78,991873.9068587719
79,1006899.6781604176
80,1028241.7291577364
81,1053182.8959951203
82,1027771.3371898335
83,1022527.161158085
84,1041424.4503652996
85,1075588.4456965527
86,1065641.4553180751
87,1140044.3329849362
88,1168340.3083185127
89,1165359.4089276232
90,1130972.8076434801
91,1119588.2209060811
92,1111785.7343862068
93,1125483.3994684312
94,1061575.0729880368
95,1050491.3367668258
96,1081582.015968142
97,1096119.4785951732
98,1131108.3588390197
99,1202165.540599254
100,1168307.3919298511
101,1176720.8878059196
102,1178336.358406144
103,1159302.6899384314
104,1138307.5583717613
105,1128396.2790114274
106,1146314.446404759
107,1204116.1852099851
108,1213508.2604153058
109,1159896.5985491013
110,1169960.292316808
111,1150686.7783490792
112,1144777.1868926042
113,1179493.57481146
114,1230406.6072372678
115,1240276.0418954443
116,1225299.226007497
117,1176800.1639678618
118,1192302.8792092244
119,1154491.595920862
120,1138918.4691362036
121,1140852.5363831765
122,1095564.6296399857
123,1101946.6079259135
124,1115366.677325244
125,1093027.1668635448
126,1083306.6105484008
127,1105678.2068943367
128,1119659.1055967312
129,1137634.886157461
130,1085844.2057087587
131,1068524.4358295205
132,1035919.8806138709
133,1037581.3281803841
134,1028070.0478713908
135,1019308.875890125
136,1022965.881708846
137,1034935.2384138935
138,1052692.3587131351
139,1084673.3129601474
140,1087739.9269279127
141,1073467.7258521807
142,1108950.9841419545
143,1129701.3327151372
144,1101949.6469839753
145,1133478.5428323527
146,1133124.4454219996
147,1130245.2218542611
148,1125062.7006434435
149,1100043.3610375891
150,1131359.498537673
151,1163171.3204120656
152,1229859.9084212026
153,1249526.4387913973
154,1257717.07596017
155,1245592.4193043313
156,1226811.3490945285
157,1222774.1045701003
158,1191048.4972413424
159,1171739.7243458019
160,1204371.3868616554
161,1231716.6583723961
162,1194880.6997310892
163,1211890.1328764379
164,1181047.2897537006
165,1183853.3551440036
166,1252567.1751215095
167,1302672.407000427
168,1284904.1952283422
169,1274898.0070906843
170,1284124.2839631205
171,1330724.9763463712
172,1299225.211197631
173,1277658.6212712778
174,1201806.3121688922
175,1190891.3883775477
176,1232845.9780589784
177,1246603.4529660614
178,1249565.492280452
179,1256859.3967212923
180,1269064.8321495287
181,1246995.879886279
182,1238228.2758536767
183,1254110.807399449
184,1285528.601293975
185,1272331.9805107159
186,1268595.7463604314
187,1264918.5100427552
188,1285839.6094255038
189,1272200.5860353056
190,1227689.5236874365
191,1235219.8022049747
192,1250180.2583496827
193,1263077.5262836162
194,1265254.4642145922
195,1237646.767086192
196,1224162.4650675447
197,1241226.3713183214
198,1303348.4267063295
199,1289694.417365864
200,1333093.4279667763
201,1323770.2901491653
202,1376450.3713326491
203,1362304.5371042325
204,1425528.5556732656
205,1399106.6126360884
206,1385118.780508074
207,1400033.375132106
208,1372586.104561965
209,1391068.6263620823
210,1361709.8343994003
211,1394136.1206552007
212,1345733.1342601113
213,1316148.670318868
214,1255590.8907614711
215,1271149.7600196095
216,1248205.6707671408
217,1265490.409838058
218,1259044.2393024603
219,1291370.4489438965
220,1292625.6405021022
221,1278899.3153756596
222,1328102.551331729
223,1323247.9926570542
224,1351559.896501801
225,1282713.1898522344
226,1289524.704986076
227,1334201.9930412506
228,1315846.0341087296
229,1332967.7808821872
230,1312229.2929805852
231,1296606.4351493784
232,1332820.9061339663
233,1313888.8276326247
234,1323989.830043195
235,1284424.9825154059
236,1296920.6938446464
237,1302617.8172631152
238,1327422.1692569104
239,1326267.8296835325
240,1310464.8624129263
241,1314284.3274618876
242,1307443.7778756367
243,1288134.636224229
244,1279130.5022094683
245,1294912.0732623595
246,1286853.2930812668
247,1288213.3858169192
248,1277641.8110516455
249,1298213.9349157582
250,1257280.6991237558
251,1265512.2760332853
252,1259753.3349245058
253,1262095.3400310813
254,1268994.742959168
255,1274488.9390684636
256,1279327.4864167266
257,1277042.8173483177
258,1272198.608829492
259,1271392.6073464865
260,1318016.8980970143
261,1319933.9097421071
262,1325610.261576173
263,1318224.0972737994
264,1335690.7733593346
265,1359429.0830078574
266,1394679.261563661
267,1422898.8848976844
268,1421995.8495432166
269,1416214.2952329332
270,1440064.351224811
271,1446518.6627905313
272,1451536.7713605994
273,1450936.9823673128
274,1415360.9330727558
275,1398501.647238595
276,1395631.2245180386
277,1401329.5659456705
278,1372856.7345454586
279,1348515.9908007002
280,1356891.200607687
281,1373277.9587520657
282,1391688.0013206343
283,1409804.5973515704
284,1405307.4410096756
285,1363111.8726508184
286,1321205.3004688355
287,1313541.567135716
288,1338279.9338615455
289,1339551.3247991514
290,1343780.8915677066
291,1345297.3591912817
292,1334511.013279262
293,1356157.269608166
294,1364999.9962497875
295,1363403.8997309904
296,1361092.7221379068
297,1373727.158309925
298,1354926.767781227
299,1364252.0003581007
300,1330100.399721599
301,1341745.2476662938
302,1369899.3608401434
303,1376441.949682389
304,1399643.5747645828
305,1347796.4687338897
306,1384616.612128367
307,1372105.0964403811
308,1356508.699613218
309,1395444.8455500298
310,1383886.8397793714
311,1386814.0833311975
312,1373957.7391460827
313,1386689.222971794
314,1380977.209068887
315,1367036.2249836368
316,1350021.766911174
317,1356898.328669461
318,1367877.4313265882
319,1346397.5233510719
320,1340528.8416675008
321,1333152.835503289
322,1338280.6935794465
323,1338151.670352305
324,1347157.4743243845
325,1371988.7707032827
326,1366421.581804274
327,1365104.3105156738
328,1357038.19633213
329,1349463.423199625
330,1341052.3859147332
331,1367630.3517431528
332,1381504.16806029
333,1363672.8185957852
334,1428343.2228422887
335,1464108.2162759944
336,1435490.7601328571
337,1428403.4189838266
338,1435995.9757922979
339,1435526.751063845
340,1412183.2198917523
341,1472439.8193994283
342,1477540.2179782318
343,1441920.5813324805
344,1415692.8898038722
345,1440073.2959723694
346,1435926.1419383334
347,1425461.7675376916
348,1372939.3973014487
349,1316188.390805479
350,1300067.1391564794
351,1261646.002709234
352,1345673.3969124402
353,1317113.927265128
354,1409096.2180821158
355,1366974.3508693122
356,1350260.6357145074
357,1350211.1414363668
358,1346676.735674779
359,1317912.6634032025
360,1263588.1570096726
361,1267711.918653975
362,1203623.6085549681
363,1203124.435935152
364,1241753.3898348787
365,1310033.8683714776
366,1288145.392810133
367,1309865.5079215933
368,1303025.771743686
369,1297438.289500463
370,1320446.5479380519
371,1283377.9655157663
372,1264404.9143527576
373,1263448.5187677513
374,1287653.1581993306
375,1329467.8960667572
376,1353445.003664022
377,1396781.488559211
378,1423658.9072715875
379,1402079.8233093824
380,1424857.4933993674
381,1435297.94156001
382,1463098.0216377205
383,1439585.8088758283
384,1430233.158863979
385,1400842.412643716
386,1417879.9994099403
387,1406625.5445967582
388,1341550.045780374
389,1353297.1310206396
390,1332098.3359356301
391,1374251.8574564513
392,1377911.4157166618
393,1423558.552382562
394,1437265.226352767
395,1483497.9900160583
396,1461888.4670330056
397,1457233.1425375598
398,1457248.38201299
399,1484823.6977751385
400,1474314.5307786525
401,1435448.2825317068
402,1429568.7955731803
403,1402265.4213415757
404,1418585.0400680108
405,1446542.0419081813
406,1464242.3706250715
407,1478515.5555405973
408,1464310.2196160497
409,1445714.1600997099
410,1474636.1461256212
411,1445748.5115680646
412,1493357.919416963
413,1500077.916661593
414,1487321.0322495769
415,1502975.6327891343
416,1519548.7815267604
417,1525531.2717415611
418,1506129.9291620285
419,1445051.5843009364
420,1425876.9914434857
421,1419889.3494555526
422,1415507.4726905434
423,1453337.0765107481
424,1422335.1091100196
425,1397606.1050405076
426,1366594.1493969539
427,1360259.0758372701
428,1321573.2506334467
429,1295627.3982335462
430,1343605.0843601367
431,1339992.1733854758
432,1332582.5044596507
433,1337387.8202748152
434,1399401.1870622386
435,1382759.43708303
436,1393537.6444092381
437,1411043.361638034
438,1371888.586143467
439,1375719.4250986807
440,1398167.1905144067
441,1392310.8983306263
442,1417769.5040664792
443,1426225.577851479
444,1414132.0217321955
445,1404598.540015025
446,1403645.78363453
447,1424095.831501365
448,1462816.8197224862
449,1466597.9242954229
450,1450795.9789339441
451,1476782.8001680737
452,1472033.1737980195
453,1470469.179936222
454,1472879.6699684346
455,1457674.0360712272
456,1459562.4262815267
457,1438092.2486864717
458,1464185.0400225525
459,1501706.9958851777
460,1497052.221652239
461,1487691.114005096
462,1503535.842766323
463,1506924.4978982154
464,1539960.2767186034
465,1528918.5943304193
466,1521231.8706997104
467,1508442.0390891
468,1478811.2950851682
469,1519937.298812014
470,1530793.6214652276
471,1527351.366007619
472,1533807.0575019117
473,1507986.958437848
474,1494925.1099035644
475,1502007.9342180474
476,1502098.5614403423
477,1516912.9390035588
478,1548557.4775936478
479,1556295.9881445167
480,1586183.7528298046
481,1581469.1047027076
482,1561696.460440134
483,1560899.54044606
484,1551544.0974088402
485,1544776.4964069368
486,1541893.9234227089
487,1535380.900137696
488,1496489.6908692198
489,1500357.6315939587
490,1528261.0524751728
491,1514984.471803049
492,1491260.403198768
493,1447086.535266314
494,1458070.4381546753
495,1456279.0014206867
496,1437028.805905574
497,1415358.167752558
498,1408225.1630200648
499,1444074.371998114
500,1471072.4175975805
501,1485467.1414445133
502,1489296.4661768824
503,1500485.2754925874
504,1498776.0699076743
505,1490330.8622305533
506,1498816.954809817
507,1508319.798158524
508,1510624.5190099177
509,1494730.8509212076
510,1501713.1475659027
511,1482970.44039305
512,1483561.6089501616
513,1494787.2188073872
514,1495311.2978473487
515,1497563.3128452303
516,1491000.3777143196
517,1490746.6180937479
518,1492813.7071646266
519,1508353.179032763
520,1492761.6803145288
521,1509971.744813288
522,1512932.7299647797
523,1517245.9027507282
524,1492011.6131204406
525,1487732.608855053
526,1478613.6356157581
527,1463514.0788561455
528,1474839.5490242555
529,1493270.7635783488
530,1492297.8292658883
531,1497154.8569388827
532,1494007.8315315063
533,1509289.2970759878
534,1506810.1114764628
535,1482065.8732250745
536,1498221.6921036579
537,1516153.6687054366
538,1510659.1151794004
539,1525132.017236539
540,1520121.4383147787
541,1513857.651370463
542,1518531.308584931
543,1543419.5858683065
544,1548467.289718406
545,1536444.758731909
546,1536161.8448561423
547,1547182.4184609712
548,1544968.3419434165
549,1540786.6563462175
550,1529199.5573897497
551,1527758.1337900683
552,1531821.628727191
553,1547065.980309704
554,1551348.3900275815
555,1563320.1422793092
556,1576411.9466277948
557,1562106.9994761217
558,1548606.0032468943
559,1543176.0508108125
560,1535542.2663268724
561,1545661.8068260974
562,1558119.6491098567
563,1552196.7398402179
564,1548218.5672039439
565,1545616.4640540695
566,1552196.5185498376
567,1544183.9593903397
568,1540756.3263068367
569,1540358.2981101533
570,1516363.9927272573
571,1505686.4316006603
572,1504026.9799540427
573,1475137.1682946885
574,1460263.2295142668
575,1484567.1702270422
576,1496749.6731820318
577,1527143.3174098907
578,1526502.9978588196
579,1520757.0722908475
580,1530065.45302137
581,1527697.5139014719
582,1526942.1480460842
583,1524881.749697317
584,1536443.3999538252
585,1522828.7157681894
586,1529396.645214886
587,1529383.0487839826
588,1537661.7933759724
