,0
0,1000000.0
1,999127.6728918969
2,1001287.4857680607
3,1004539.2159928891
4,1001129.6439162518
5,1001262.2273837891
6,997409.8088021447
7,992058.6326733793
8,988743.0554383738
9,983530.8490770111
10,982618.2605472998
11,982980.256075752
12,973579.1802068569
13,965590.147464593
14,968759.1380777826
15,962979.6919012754
16,961004.207046118
17,970399.2354733504
18,974802.6046398169
19,980235.5557944016
20,977053.8611542725
21,968687.0286414963
22,967708.7454965392
23,968204.8994343566
24,971683.5007755177
25,974544.319930811
26,989251.940883401
27,998112.0103761349
28,985887.7701708041
29,987573.7384277829
30,979117.6652524577
31,987941.0737525772
32,968847.3435865969
33,928648.4166925673
34,947177.0402335519
35,958074.8250823503
36,947132.6649012505
37,944978.0456182623
38,941720.1369398383
39,934412.9475009528
40,934867.9695419533
41,946644.9686961825
42,916581.6757990798
43,880175.1044519703
44,893228.1468845899
45,873365.2704681159
46,883658.4664555425
47,883851.1170126143
48,908195.5499799639
49,909436.1967297225
50,923193.5046005676
51,919349.5820270512
52,900948.447616097
53,907763.2019684832
54,939775.0594529728
55,958732.9835269544
56,959354.0821181828
57,977137.1858876888
58,966156.7687041241
59,973711.488939101
60,964714.6985784887
61,932525.5429087523
62,909487.0756030347
63,932963.1723812367
64,946438.7515595872
65,979530.4428268282
66,970121.1678340113
67,957717.6906064021
68,959076.4376538496
69,963976.8149647772
70,976675.077698289
71,977491.1848550512
72,991998.3573643427
73,992476.3163841921
74,999473.2876471644
75,995248.8992795903
76,989908.9293173358
77,958362.8961932509
78,964861.4070028418
79,966162.7899410101
80,971102.3420556205
81,992500.627284141
82,972404.9220465701
83,982361.8917764246
84,1000562.049378826
85,1003369.8208211941
86,1017121.9342243263
87,1034852.8248785955
88,1023316.7785632005
89,1026182.0834834641
90,1019534.1292229764
91,1040571.9641405226
92,1030889.6791818821
93,1037130.8808498835
94,1015646.6742283466
95,999923.845208812
96,1012116.6150031297
97,1043954.9413091193
98,1053882.629118942
99,1075317.0034427238
100,1062177.1108183956
101,1060770.6935874065
102,1064189.2757165902
103,1048113.0079537388
104,1053486.717923311
105,1054605.9035487184
106,1074668.4704992857
107,1092792.3536034578
108,1102959.554238422
109,1101129.440704775
110,1109510.909383887
111,1098356.1050228677
112,1095738.4855859603
113,1127606.9359055432
114,1118868.894398802
115,1133675.4035488882
116,1132366.6574611499
117,1103874.8314234412
118,1098480.742612964
119,1097575.3252971368
120,1083317.71110717
121,1114854.784330222
122,1060714.3253208604
123,1070612.8190761185
124,1077916.5895407218
125,1096300.269154275
126,1111755.838777024
127,1112733.0676814623
128,1120605.349850395
129,1134003.1679863113
130,1119824.3021829815
131,1118571.3267778445
132,1121758.1697880595
133,1112844.95292104
134,1109405.9421946474
135,1143669.9280704616
136,1130135.0692355263
137,1129187.0839200472
138,1155211.266405859
139,1176073.1201437833
140,1191193.2258942279
141,1184452.5078340892
142,1207121.6292219462
143,1225032.5432591033
144,1218203.5099918963
145,1224110.194604381
146,1234847.04698595
147,1246614.8985318176
148,1242587.438954135
149,1229381.6658824312
150,1239420.9934990844
151,1268244.2916280208
152,1295845.2569964007
153,1289562.1176890256
154,1269787.1705027411
155,1259640.8712857442
156,1262674.8663107282
157,1271170.2241156863
158,1263815.5830703282
159,1280882.6166362294
160,1307886.4298209848
161,1288467.1578170608
162,1254279.815807489
163,1268774.8550007204
164,1278172.6160586136
165,1287333.409144162
166,1295776.8643965374
167,1296568.8804209423
168,1310433.5360610073
169,1297075.7682247467
170,1319714.8545131378
171,1344754.915642861
172,1355105.2843038428
173,1308282.1093200839
174,1294757.189583076
175,1304241.6843731026
176,1345686.2273260949
