,0
0,52287.5070837643
1,4622.14697862207
2,-21511.272384794895
3,-32504.36236532079
4,10801.925863703946
5,-22534.311070214957
6,-25892.038224434014
7,4830.679124352755
8,-4297.838355800137
9,10042.79503415781
10,6045.224541132804
11,-2792.467296938412
12,7298.203448658343
13,-8126.571993677411
14,1997.0964893347118
15,617.3339695523027
16,2586.4071083771996
17,9817.546103717992
18,-8419.074677424971
19,1721.3726321856957
20,10757.015267796116
21,-1035.6054354477674
22,-4186.665570915444
23,-8750.914825130254
24,-3765.612331588054
25,-15922.017553493613
26,3338.303492105799
27,-3011.7247540508397
28,-12059.514395042555
29,-25335.17410630337
30,4241.029721768107
31,-21258.83505432075
32,-28309.432065308094
33,-3527.3768151055556
34,-7177.405898639467
35,28898.44617032772
36,-4895.878398503177
37,-13538.191412146669
38,-5299.15822123969
39,-9608.858692508424
40,-20510.424522725632
41,-10198.818272866309
42,-4353.02134173899
43,-4060.922814481193
44,4046.062105983263
45,-3032.6177046415396
46,24566.52297256561
47,22745.953669902403
48,-2585.2952116895467
49,463.9014446369838
50,-1678.8138492079452
51,19172.971867458895
52,6291.068928906228
53,-10703.585565088782
54,-24225.714590340853
55,16195.500038516242
56,327.14173719566315
57,-33403.07139629149
58,2327.094494034769
59,-5072.891641734401
60,-11213.916676280554
61,7513.440349208424
