,0
0,1028067.4957130454
1,1028322.424056137
2,1044551.2917219623
3,1035237.9954699225
4,1023711.9661398398
5,1020242.7063953659
6,1026041.0305173919
7,1022899.5118272209
8,1024823.3856930523
9,1022123.3188428011
10,1026364.3697788329
11,1028336.4183653676
12,1020728.9874175603
13,1012767.780700168
14,1014758.7846239412
15,1008641.9303843473
16,1005681.763236893
17,994221.003419143
18,1009378.2829181612
19,1003239.6686868281
20,1010080.2351829098
21,1028869.2618798584
22,1036499.131324484
23,1037715.9003655929
24,1046332.5856724572
25,1038288.3797700192
26,1052523.8893889731
27,1048993.838142452
28,1057914.0345871334
29,1056640.5164859712
30,1040061.3985981647
31,987118.529342494
32,990330.7283663375
33,989687.9124184336
34,1009206.5516434831
35,993006.5281031072
36,949998.5797240313
37,952365.0347266068
38,916040.3046978477
39,920232.2037411316
40,928379.8271800266
41,922191.9086636411
42,915515.0383739613
43,917295.6046679005
44,919948.3932367596
45,933774.780037166
46,930033.9022193712
47,918697.4715592504
48,932359.8489938204
49,931716.7414196203
50,946041.4642464151
51,937272.4768580653
52,984758.448819096
53,982447.3400405381
54,1006662.7092642137
55,1000375.9300287496
56,1012420.1814238147
57,1032794.0882545823
58,1031078.7735631852
59,1025011.4628462245
60,1055898.8656113495
61,1074268.7132772575
62,1084191.8133045551
