,0
0,3257.0749132875353
1,17060.586224974366
2,-14.006746634840965
3,-31994.826489348896
4,-14008.096070019063
5,-8325.525421889964
6,6693.882580873789
7,-10040.057227173587
8,-1111.7483721598983
9,-1673.4966692547314
10,3038.633409152506
11,5936.725601576036
12,302.94355082372203
13,2494.424706450198
14,7327.484201198909
15,10473.854386025574
16,4155.934548837598
17,-3786.0762495878153
18,-2970.3371889388654
19,-14024.963627607096
20,-7456.865417360794
21,9831.100534551078
22,8200.336306355894
23,11954.13656347082
24,-4305.881448825588
25,2765.6380471964367
26,628.826054699719
27,-6012.169623729307
28,2923.16553043155
29,4694.72629354964
30,3180.582452016417
31,5926.0209996853955
32,7387.905947318999
33,3726.4321866219398
34,-19086.677893948276
35,-9415.425799328135
36,-7108.918658119626
37,3132.0504738690797
38,787.2682659022976
39,5565.286806331249
40,-1548.223479337059
41,-5636.207809295971
42,-2278.1287121935748
43,5106.1334291137755
44,-2115.991508924868
45,5540.595139439683
46,-1929.408453045413
47,1911.5472367855255
48,7907.322793110274
49,-3030.759767672047
50,2357.60804441059
51,-14549.425584719982
52,-7381.501384193543
53,2519.938581931172
54,-20515.933382322313
55,-20244.56204671669
56,2682.934209026862
57,-1409.9354498139583
58,24995.816710727755
59,-7596.183984884527
60,-8974.52526342962
61,1403.335759115871
