,0
0,1440669.4130697055
1,1440311.6801104343
2,1456282.1496605377
3,1483611.6354853208
4,1481468.964232791
5,1479586.9645399665
6,1470628.9953594245
7,1439746.3841551272
8,1443623.6223919857
9,1488724.9929669094
10,1490612.6121934087
11,1517128.9380982502
12,1514324.9754688034
13,1506842.255267623
14,1540392.014088332
15,1557158.6594784018
16,1548612.0952042013
17,1589918.129640201
18,1595515.009680955
19,1601144.0833501269
20,1612045.426038119
21,1642501.9838673996
22,1642158.3400753075
23,1658340.902070483
24,1642462.2143727494
25,1643630.1524151317
26,1656786.088394994
27,1607025.7532112447
28,1599010.4229720405
29,1590729.7721406822
30,1635643.0672177055
31,1641628.8196843748
32,1635259.3579488895
33,1637020.5120325708
34,1636472.0935645865
35,1652222.148287736
36,1621121.5372555344
37,1625279.3226841865
38,1626420.5534658222
39,1626410.2209466896
40,1635750.3880745808
41,1633318.3474168917
42,1659604.0849316728
43,1663339.5758979002
44,1693361.557404403
45,1685686.435851884
46,1685183.669907802
47,1685048.0545193753
48,1682860.8660207447
49,1699714.3419169069
50,1688824.23553779
51,1713734.5439280183
52,1697706.1202420336
53,1696979.2625447873
54,1702316.9993100103
55,1718381.7036371813
56,1710844.2330433072
57,1721094.7200940154
58,1702361.9209657155
59,1717921.4331533855
60,1700698.4199229185
61,1708680.8940038744
62,1693692.54019481
