,0
0,-4799.92649333342
1,-7808.816832196433
2,1990.274007767206
3,11412.988348626066
4,11995.13977986807
5,-8462.124818387907
6,-21687.74890031363
7,20359.379297865555
8,12221.497328002006
9,8839.851935691899
10,-7496.622091530589
11,-6469.905442531453
12,-5212.5550687017385
13,1762.1134180193767
14,13820.547905683285
15,-20075.97162463423
16,6342.284279922955
17,24638.1216214539
18,-7189.3425150106195
19,-16603.282975812675
20,6276.256624455098
21,3050.8567067736294
22,22869.145302690333
23,7918.012945045251
24,-1331.888608333189
25,13014.793151132297
26,-26031.19824680523
27,5309.093012961792
28,-6622.870496224612
29,1152.429242105689
30,15873.736238154583
31,36.11427618400194
32,1785.5513475420885
33,7989.083178992616
34,109.43008761154488
35,5249.4555592346005
36,15.903759653447196
37,-920.6828104997985
38,-4869.844121236121
39,-4373.930384717882
40,-7952.938612341182
41,-13169.164274552837
42,3615.755283284234
43,4852.50314389565
44,10122.467061895179
45,-5099.660817541415
46,3956.2936980107334
47,-6384.994531394681
48,-1484.9696555919945
49,-3923.752668613801
50,-12063.796386671485
51,4666.178233125014
52,-8595.786605462898
53,-11197.198660423048
54,-32464.52188343671
55,3540.893335458357
56,13242.85973405349
57,4599.647118155146
58,-7453.489430332789
59,-23942.86791450903
60,43725.10089091235
61,12975.90727266646
