,0
0,1000000.0
1,992034.1055447825
2,990118.3636900622
3,985154.2288310679
4,994942.7535255562
5,958990.1317858992
6,959065.8417591723
7,931317.100342975
8,932435.1755012583
9,947115.5908281856
10,953660.107957704
11,945681.8463267378
12,909781.2571250428
13,894565.7893476372
14,918410.3714484219
15,891402.4434443465
16,902495.5027196807
17,911864.7869194834
18,920993.3265745755
19,932797.6544042457
20,931539.4954183768
21,947194.5690917624
22,951561.5664885949
23,965891.967148896
24,934245.0683186717
25,945779.7058582384
26,980201.5609170225
27,964248.3929818948
28,935327.414795
29,928852.9051085653
30,915800.2692746533
31,901464.0768921494
32,919772.4577975894
33,933601.4009979016
34,925997.7242161136
35,962662.4148422516
36,965951.8939572623
37,931843.0428499099
38,939189.377255632
39,926388.416914326
40,916054.7658463843
41,927870.8945875248
42,939119.3755005593
43,942802.3873308923
44,947292.4556280378
45,962661.5561253495
46,966776.348845748
47,996853.0054149886
48,1005899.7778416141
49,986091.1586801917
50,994146.1691577067
51,988159.4117121176
52,1007524.5564607908
53,1007228.89320257
54,994369.9817538009
55,1031936.6190949315
56,1068488.6683228805
57,1051463.9702013293
58,1053707.4764012014
59,1060181.4579406148
60,1041911.5971185139
61,1024432.925329277
62,1017434.1364343402
