,0
0,1000000.0
1,999593.7999438888
2,1003257.8934189947
3,1008052.1608023155
4,1000873.1047443935
5,1001113.866424432
6,992308.8992301275
7,984099.2175653754
8,974484.6240877733
9,957016.3839413668
10,959120.5045581816
11,975181.5053030087
12,953883.7584198194
13,938507.4732567018
14,942838.0588811719
15,939448.9816336954
16,925726.5003273588
17,952708.1392957316
18,959294.193880215
19,979828.4199373056
20,951767.1968622246
21,952517.4139013051
22,945902.0935148022
23,969502.2429990123
24,1026341.2579327527
25,1021355.2808257901
26,1071170.689016419
27,1090786.1562459348
28,1051892.1756256665
29,1029465.4891100074
30,1026638.1136270365
31,1046344.4215618051
32,1019474.563868837
33,980948.3453826263
34,962635.8525110191
35,977718.6114754358
36,953678.158476636
37,951283.1520501655
38,942101.5428131388
39,915957.4323189136
40,937226.9497168445
41,928477.3094583142
42,897578.5543484052
43,854460.3159635059
44,856424.560032311
45,793244.5067967718
46,827581.4132947925
47,847973.3758348601
48,885580.172039121
49,879205.7424994326
50,858803.9275525436
51,846427.6484020258
52,839061.0668894579
53,862049.5204983493
54,899781.9099796197
55,930744.8949572116
56,924392.8485100511
57,956411.5173391586
58,942381.421988779
59,942988.1672106783
60,948739.4245275904
61,900738.449037179
62,872588.2010255663
63,890360.513730156
64,915336.6394024019
65,960894.0529100166
66,971517.9990512464
67,984769.0757912626
68,938225.3769123884
69,928426.404118786
70,979549.7073450187
71,978438.5970192279
72,990618.0096328569
73,984844.3368344292
74,976811.8252434566
75,1005081.0474373181
76,1064487.633784835
77,1016286.8629683558
78,1013977.6731401987
79,1035991.2088184882
80,1061630.84271648
81,1087618.252421682
82,1058615.4976761497
83,1054587.2065002222
84,1067985.3331728443
85,1100995.7138058143
86,1093718.1812381402
87,1165152.0797082603
88,1189568.5707782665
89,1186413.353842649
90,1154878.7872537244
91,1142874.569790217
92,1136830.9615224742
93,1150269.3998613448
94,1087054.0832135715
95,1074176.4038165587
96,1108854.9704705519
97,1118336.592746472
98,1153189.7839867407
99,1223504.312322467
100,1188934.4169609894
101,1196404.2733407805
102,1196316.0001348793
103,1178634.5100929746
104,1157343.1314665421
105,1149657.5278724004
106,1167228.4108417702
107,1223593.959161855
108,1234610.2168167334
109,1186183.4416879634
110,1196682.7699513407
111,1173266.9162831441
112,1169233.9902517914
113,1202266.4929405653
114,1247642.092723142
115,1257861.3975110482
116,1245275.8240036294
117,1199020.57875941
118,1211996.820274466
119,1177204.7508581388
120,1157077.6638273927
121,1156258.0927082242
122,1113217.2985760565
123,1119852.2811868493
124,1133410.7132975387
125,1114475.0692004766
126,1110267.1320565771
127,1130058.7760590261
128,1144406.2035136032
129,1161095.2323898291
130,1114681.4054439736
131,1098239.9249845522
132,1070835.5207026275
133,1071799.4092490233
134,1065755.4369660993
135,1055510.1899339245
136,1059232.222432519
137,1067977.6559315247
138,1086711.5764342651
139,1115523.17066735
140,1121784.8316304542
141,1109177.3196428625
142,1141686.2106022248
143,1162062.0612462352
144,1132240.542421992
145,1156045.6508472492
146,1155104.0758295392
147,1154235.834816331
148,1150782.1331230458
149,1125909.6827925711
150,1152632.980917915
151,1186439.1403887563
152,1244323.4844542835
153,1258814.5957581147
154,1266403.7433706124
155,1255462.7367788265
156,1237011.2426504642
157,1235008.8669292554
158,1205773.2886378407
159,1191166.5645309717
160,1224771.7766823638
161,1253835.0695076692
162,1216636.497934385
163,1231137.3458746625
164,1203775.1727796656
165,1207316.8203287246
166,1276880.6626923648
167,1327095.712588013
168,1307881.832740825
169,1299462.7165058795
170,1310953.6041018523
171,1360638.368218427
172,1331015.4482071418
173,1308023.1518179053
174,1230002.7667526184
175,1218082.0507636697
176,1260608.272532215
177,1274225.0439125795
178,1276547.9621139895
179,1284005.5442194731
180,1296659.867534381
181,1275427.8871824613
182,1267414.1362161525
183,1284465.388748084
184,1312318.6705891353
185,1296470.801306937
186,1294367.7663425913
187,1292771.6568622305
188,1316170.1172226232
189,1302209.238975489
190,1261666.540722374
191,1269680.9580049333
192,1282789.9773733171
193,1295042.0831962689
194,1297588.0411579101
195,1272152.4520425217
196,1256636.3366701605
197,1273163.3240628715
198,1335075.369890141
199,1320861.6765154763
200,1360084.6233794591
201,1350864.9543137343
202,1403644.0401285817
203,1390196.046484672
204,1452606.3015238182
205,1422117.2661187947
206,1406522.609664121
207,1420174.151723594
208,1391874.3520826483
209,1409290.199857961
210,1380517.9472462262
211,1414115.2840302254
212,1367663.1400164838
213,1337384.2413975664
214,1280146.272354228
215,1285557.2626951295
216,1266385.265590801
217,1284277.976276002
218,1280627.6793723209
219,1311298.7381162785
220,1311851.7046806684
221,1297988.3513372883
222,1345081.9091351377
223,1341214.033595184
224,1368720.5428710019
225,1302030.6443033582
226,1307696.6800169693
227,1349253.0727406256
228,1331415.0641456605
229,1349394.5660744123
230,1327085.6548593098
231,1315343.1200646104
232,1350408.5474088558
233,1333089.9850540562
234,1341849.6719404717
235,1304650.9504734485
236,1317270.0928044908
237,1324512.1918957408
238,1347399.9059798908
239,1344148.602218513
240,1326009.7610074047
241,1326961.0148751624
242,1323063.73914792
243,1300855.2031376013
244,1290837.4177431595
245,1307385.3392771375
246,1296789.7673484473
247,1298386.458314189
248,1286984.3593068174
249,1306238.7887917708
250,1267803.7392174846
251,1275937.4146575849
252,1267550.664637569
253,1268613.2468224557
254,1276409.6282217894
255,1282348.3376377726
256,1289915.0420870055
257,1288508.042952485
258,1283896.3172599238
259,1281586.688362894
260,1329649.3295105696
261,1330003.5184548802
262,1338211.231126818
263,1333138.710089934
264,1353429.8646881254
265,1377840.5079378984
266,1415488.5733325845
267,1445501.9704566284
268,1445777.7955982722
269,1438072.5967149546
270,1466671.4629608144
271,1476241.2912741154
272,1481579.981278129
273,1478810.4265145797
274,1443552.564608989
275,1428291.972270521
276,1426634.3022754262
277,1430763.5138230193
278,1402071.6034468946
279,1371107.4972100975
280,1380303.9340128363
281,1396894.3711576525
282,1415301.8509641069
283,1436237.468404541
284,1433333.6570300355
285,1392485.9415073711
286,1351089.211804702
287,1342059.9596050296
288,1366517.8461413812
289,1368048.9343712379
290,1372564.4472034876
291,1374346.6571606677
292,1362965.8396187534
293,1383988.9572521797
294,1393436.749537271
295,1390415.278572907
296,1388076.9092226815
297,1402595.0875248818
298,1382655.9064845082
299,1391292.4138925348
300,1357936.2526721882
301,1370582.1563891587
302,1402999.9871918506
303,1410783.8980163387
304,1435273.4258996763
305,1379449.4040159527
306,1415673.393386189
307,1403338.7813195004
308,1387825.3982480606
309,1424815.6296310474
310,1413999.212531946
311,1416917.4040070265
312,1405437.9698889335
313,1418100.6264069404
314,1409813.8714648804
315,1395974.834830673
316,1379017.0163476998
317,1387196.8014322384
318,1397976.125662831
319,1374909.0417141663
320,1367563.121427821
321,1361705.540179767
322,1367344.4534961258
323,1368505.1554793
324,1377790.1270532447
325,1403378.1104806126
326,1397406.7560296261
327,1397353.7507744662
328,1390333.8955529737
329,1384337.6520780295
330,1375018.160864454
331,1403620.7201625619
332,1419531.6832750263
333,1399351.5318765684
334,1468759.8602784046
335,1507667.978895905
336,1477106.4518535906
337,1470195.6757351828
338,1476521.2431883481
339,1477473.3841802287
340,1454493.9079346757
341,1517371.7305995224
342,1522412.6882576062
343,1490608.5034433897
344,1460246.152584625
345,1484280.7880699853
346,1480192.3734060372
347,1467858.8483046787
348,1412707.0403706185
349,1357854.554158838
350,1343264.5712262134
351,1305402.0830290178
352,1386738.4174779754
353,1357446.8223589933
354,1450210.148443183
355,1412119.431284508
356,1396186.3693540378
357,1396671.1384704623
358,1392897.632780073
359,1362876.5098927077
360,1309847.2227230212
361,1311425.7215933413
362,1245798.2783059392
363,1243373.5094123385
364,1283117.785478944
365,1353079.1005721383
366,1330800.3751525544
367,1354218.232401333
368,1347581.1061433593
369,1340694.0167742057
370,1362067.94070293
371,1324547.952094472
372,1303721.3312579233
373,1302769.719721659
374,1326135.9355568874
375,1371687.4751072535
376,1396550.1209498427
