,0
0,1000000.0
1,995230.2949907328
2,988818.3482512855
3,983189.7881909569
4,993218.3149607253
5,961151.5796113319
6,956506.0612753261
7,935500.6953364594
8,935541.6670784573
9,950241.4258435806
10,955055.9035888427
11,940313.7304840666
12,908182.415517995
13,893424.9245136796
14,914091.5949147585
15,889842.7215414434
16,899009.0381274142
17,904734.8284036461
18,913827.7510548412
19,924393.1232806355
20,923819.6348951955
21,929319.023627944
22,935860.3886391888
23,949602.1238019972
24,932291.3594428863
25,937984.4305479876
26,947298.7497909255
27,926014.9726359411
28,893832.7449296144
29,896054.5648540022
30,901842.5259070796
31,895256.0433258647
32,904401.7477284115
33,905332.0207183656
34,905526.5500195026
35,935048.7725671286
36,939028.8691053712
37,918174.3571009599
38,914618.6547596848
39,903253.9084279726
40,896961.3448773042
41,909491.582377415
42,909444.791732932
43,906931.5567700368
44,916510.6555362528
45,923201.1512882413
46,923713.9363061435
47,943479.4804235674
48,950948.1510113311
49,943063.975823048
50,952766.6607624948
51,949771.764446547
52,968585.7679594913
53,968251.8871371441
54,956510.7404788045
55,985124.4550704972
56,1023626.215955572
57,1004795.7531121162
58,1007464.9176700873
59,1007993.3458964027
60,996820.0963776883
61,981356.8594374693
62,979490.3360438839
