,0
0,1646706.699258195
1,1658827.9479600412
2,1622776.9837888854
3,1620460.4291962972
4,1643613.2719987808
5,1648543.1085888317
6,1652791.2816059808
7,1662684.5364617854
8,1647391.821423009
9,1640405.61206117
10,1621456.5278643924
11,1615831.0385928098
12,1596910.4562877566
13,1607708.191169913
14,1625402.0971266702
15,1616290.8654150167
16,1596280.9362484089
17,1576440.7051446498
18,1558001.1310655042
19,1547910.8359276482
20,1504025.7811481007
21,1464187.2641923993
22,1463469.3120618896
23,1463469.3120618896
24,1463469.3120618896
25,1463469.3120618896
26,1464725.043252939
27,1464611.8876314878
28,1464518.5142308963
29,1463423.9243877486
30,1463251.3930806546
31,1468958.486747551
32,1475155.7128495395
33,1480926.8612689853
34,1492673.4926616994
35,1497873.247601721
36,1493406.6884027126
37,1483925.7007438433
38,1483287.791911752
39,1480924.378022423
40,1486945.2465486834
41,1490452.5242499777
42,1489721.833820677
43,1479091.7051587875
44,1492674.8465700403
45,1489966.564147456
46,1507865.9139614971
47,1493954.6828286918
48,1496380.6076289378
49,1450914.510722294
50,1465603.103773898
51,1478727.24355306
52,1492138.8035958353
53,1511341.8326837712
54,1509442.8490522527
55,1494194.261753608
56,1489448.0482621293
57,1493594.9393688252
58,1506015.2604385233
59,1508210.2881289278
60,1516316.134798553
61,1533960.5196246724
62,1528475.0885296944
