,0
0,1528475.0885296944
1,1535837.127280741
2,1527971.352962371
3,1538312.357172592
4,1572818.7857465039
5,1573182.1748359457
6,1547460.548816873
7,1538175.5638137066
8,1541518.9979246748
9,1550262.2410661827
10,1553822.8607188838
11,1555894.8002700694
12,1541617.1141621126
13,1516644.779295209
14,1545500.4894759713
15,1576373.4338806134
16,1591369.154044435
17,1593759.974635563
18,1601038.8185614883
19,1606657.2922898224
20,1608091.9788435262
21,1624607.3801860972
22,1629930.9721394987
23,1596315.0539939054
24,1607777.302287757
25,1597703.2121487195
26,1595917.628446209
27,1589278.8024742526
28,1581451.4296336975
29,1597346.3452342858
30,1665025.0305163204
31,1684185.2751025308
32,1679315.327348703
33,1673395.474196018
34,1658604.830234029
35,1696114.6494339795
36,1718470.1879833888
37,1673747.726799505
38,1647936.1176033097
39,1629028.698647585
40,1626074.5666072746
41,1636316.113842558
42,1622824.9623310666
43,1617308.8366399335
44,1619522.2167387996
45,1617817.3432793736
46,1612212.7158567528
47,1606430.7048480564
48,1614911.729484924
49,1641152.7638790987
50,1627747.2059510048
51,1605099.101356006
52,1601525.1996116522
53,1609080.1341707478
54,1605948.471334468
55,1552692.5453454875
56,1544551.3771888257
57,1517780.9216605094
58,1514160.4098235099
59,1513708.8108660467
60,1491717.4839129501
61,1516743.5343533529
62,1500946.091951899
