,0
0,1500946.091951899
1,1456628.6197717837
2,1469115.337920117
3,1506967.2730299681
4,1450058.668680556
5,1415909.098190088
6,1441185.411305346
7,1395441.3407012504
8,1408628.3305214539
9,1414498.4250110865
10,1430308.8958298636
11,1422484.3779592796
12,1432646.7861750934
13,1410790.031811158
14,1427386.4877539438
15,1451848.0901744233
16,1412600.4460949954
17,1423036.8235072966
18,1424678.8794393858
19,1458109.332649249
20,1441369.9071111414
21,1433346.543960351
22,1434098.940310458
23,1454419.0275544606
24,1468962.8508555929
25,1477963.697100254
26,1495716.4749039912
27,1481665.84339938
28,1493445.4833050503
29,1514889.9684264436
30,1533539.5819906788
31,1539444.0061540122
32,1544215.8869416786
33,1565352.7458996787
34,1563585.848510345
35,1549713.8810263453
36,1549995.0877870119
37,1540063.7128313445
38,1539495.623005012
39,1546790.5054863452
40,1555155.2022963453
41,1559241.016668345
42,1549923.529030345
43,1530266.7286756786
44,1569490.2786056786
45,1562250.1755156787
46,1563938.4647556783
47,1536377.917669012
48,1537571.4567490115
49,1526927.3655146786
50,1543552.6170066786
51,1531022.6003343451
52,1528343.7948723452
53,1519451.9799920118
54,1501800.6559263454
55,1466904.9576980118
56,1411942.1299890117
57,1414229.718841122
58,1401557.7772894553
59,1405961.802974455
60,1398514.9064344552
61,1397612.2174164553
62,1420275.2490127888
