,0
0,1000000.0
1,997885.4828203584
2,996796.3124312493
3,992703.350827611
4,1000919.7863712135
5,965770.1261004154
6,965361.0264246273
7,946939.5769453475
8,948349.8345645842
9,969160.7467026914
10,975500.8446293464
11,960227.5637803223
12,926832.3189452146
13,907917.2856883474
14,935972.1242860126
15,912672.3511490542
16,917370.344849256
17,913847.230436779
18,926399.0144215223
19,937625.1712102066
20,934328.1546443315
21,941924.6971106607
22,944186.6102269997
23,957046.7587938822
24,935394.2699414908
25,946226.8745581745
26,964470.4043297904
27,938097.440127969
28,908664.1151706104
29,912178.1374581072
30,909682.5660376062
31,900256.0517071115
32,909638.5667337356
33,909056.8055070778
34,910288.5666474056
35,942552.2994884021
36,949867.9918464156
37,925078.936073512
38,927395.737760722
39,919579.567687602
40,914437.3197144031
41,925915.9527554639
42,930396.1558589719
43,927748.3786322837
44,942459.413557476
45,948490.944735916
46,947448.4611678602
47,971115.6657701919
48,982712.6373899084
49,970284.5167492056
50,979734.1922250189
51,979146.5078646315
52,994819.186445238
53,997754.8022260738
54,994645.9871607681
55,1019517.6283656936
56,1051916.3405152094
57,1031543.45870601
58,1040358.0876515638
59,1038633.5583772011
60,1031080.1114639421
61,1019056.9571478671
62,1016955.1240164235
