,0
0,7084.263883610722
1,7851.815592058469
2,2208.1282815800514
3,-19588.616044212366
4,-13489.760504739825
5,-4602.857705301372
6,8623.638939252123
7,-9282.047098399838
8,-14445.299924130319
9,5067.540380622027
10,8539.855466455687
11,8654.867000088794
12,152.13165902136825
13,5028.862472492736
14,14312.35283903894
15,2470.456562477397
16,3515.539526793873
17,-5763.684938943479
18,10146.060861855978
19,-7424.194470377872
20,1046.6220616560895
21,11711.318271881435
22,9199.993230928667
23,16141.435573796509
24,-1066.2829654021189
25,3061.935718023684
26,-5177.221755608683
27,-1070.4255893747322
28,2334.067076525651
29,8106.861098984489
30,506.6590249284636
31,5516.6801276791375
32,4351.714072363218
33,2787.9845527950674
34,-9436.884483621921
35,-9827.445978781907
36,-7558.35851760651
37,3873.640885254368
38,1557.2916682942305
39,5995.543209197
40,-1116.5921981337015
41,-4639.053814501502
42,1391.596109790029
43,3783.060919498792
44,-27.970360265113413
45,357.8976676140446
46,-1139.1975651339162
47,-733.4238447949756
48,4183.439678468509
49,-1014.3159340047278
50,-1080.094770725118
51,-4058.6431009129155
52,-2931.394634373486
53,4578.778436732013
54,-6725.14153714804
55,-15794.57974014408
56,194.59096975019202
57,-3348.460694040172
58,10049.009493613616
59,1029.420645576669
60,-1190.0802217901219
61,-3999.147394439671
