,0
0,1136910.8943081514
1,1165040.5640187715
2,1102880.7355637897
3,1128986.2423967717
4,1145225.1851986176
5,1140761.860070389
6,1137917.4676631733
7,1138466.483427248
8,1131122.4175583336
9,1138219.3178221895
10,1139309.841052406
11,1137166.5317854963
12,1112599.894842003
13,1102771.6210950464
14,1112321.764750408
15,1122103.0319828233
16,1133185.6586348952
17,1133667.575802267
18,1135835.024755579
19,1143186.385834477
20,1149935.2518146662
21,1141264.5412975675
22,1140597.78229735
23,1128896.451832621
24,1122039.4943553458
25,1125266.2136852508
26,1127648.9658374372
27,1116752.9024578093
28,1116821.3858861236
29,1136334.436427777
30,1141918.4022282076
31,1149823.0083130216
32,1176641.3778256387
33,1167721.619478427
34,1174194.3881686858
35,1175164.3557681227
36,1189605.7010972227
37,1196398.8970771716
38,1205515.6979564177
39,1213154.6024091358
40,1225783.1434074573
41,1233793.6656933124
42,1224443.5792317633
43,1224092.3792536645
44,1224255.5103380585
45,1223225.0883270686
46,1214450.809122788
47,1211426.7936560716
48,1219526.8638068284
49,1222047.9884534949
50,1211824.6974075588
51,1209298.0859462444
52,1202208.7885573388
53,1205936.7360978902
54,1181700.4300932463
55,1181165.805869501
56,1175443.7533199263
57,1156383.520586918
58,1158767.1281830862
59,1133917.6589795419
60,1135712.8973827518
61,1134064.8813718837
62,1147097.8247571185
