,0
0,1000000.0
1,999942.8337016167
2,1000169.8587304393
3,1002245.7053129098
4,1001905.1191152412
5,1001804.0718053676
6,999741.9089415004
7,995641.6830984773
8,991202.4083409344
9,983540.1618794622
10,983984.8311067129
11,989354.3241536039
12,980957.9808013694
13,968481.337145297
14,968473.4976515907
15,966430.612349031
16,963074.6956649153
17,985612.3870714243
18,987571.1004989997
19,1004194.183148576
20,978548.8681605879
21,987038.8796945686
22,969045.4200982633
23,992365.9886858742
24,1009447.557011644
25,1014306.7956949767
26,1039698.6446405498
27,1056477.8251630566
28,1015975.647137483
29,1008537.7547626109
30,996797.3020152503
31,1010064.5561034157
32,987019.7433372827
33,958940.8725752333
34,951814.3080419163
35,956446.1590960809
36,939983.8973888899
37,929903.7324668042
38,934163.0323721415
39,919880.622373031
40,926216.1759925511
41,913901.4025601969
42,876428.8759131623
43,864613.2972994107
44,891434.702646365
45,865497.809009135
46,860558.6868815258
47,849329.2030529917
48,871396.3029533983
49,877108.3292684813
50,888136.7214168328
51,901016.9285599632
52,926255.4653139598
53,927279.2637342835
54,942486.1698268712
55,944190.8225169907
56,946239.1922151719
57,962943.506210481
58,964978.0382392999
59,961391.5854686861
60,951912.5452021759
61,945566.5206158295
62,924466.5305053116
63,954996.3591162054
64,972397.6809589467
65,1019707.8350425083
66,1014707.2836457896
67,1002462.5848436408
68,989342.1736422702
69,987124.6433799389
70,998262.5436296439
71,1003714.8420909516
72,1015693.0001358254
73,1018820.9845145517
74,1014088.7755099903
75,1030848.6048072637
76,1027186.3747521378
77,985011.8989024034
78,1001294.2908196818
79,995166.1056537839
80,1001669.9897398948
81,1025620.3567438046
82,1028735.3307732085
83,1020408.1287233339
84,1049459.3262266777
85,1061303.0776446438
86,1058206.8623283873
87,1087992.5968950759
88,1092037.4410434165
89,1091592.6421446744
90,1077156.9931816107
91,1106100.85676777
92,1096345.7549978134
93,1114602.5343916311
94,1093972.5257583784
95,1105029.3701459917
96,1105925.077607143
97,1130643.4927853798
98,1150384.6499358725
99,1168560.3640609146
100,1162632.9736227628
101,1167315.5618542824
102,1170415.5002693927
103,1171318.2585909807
104,1166621.6193935676
105,1151289.1759622192
106,1172225.6435712653
107,1213594.4271066154
108,1217702.7260096215
109,1188744.2974207348
110,1183229.1208693099
111,1174788.8436918817
112,1172365.6474892527
113,1194783.2401363854
114,1205486.871767447
115,1218676.4478064077
116,1217629.0944655745
117,1195399.425801651
118,1200931.8834718277
119,1194602.6031491773
120,1185597.2763587371
121,1211982.7767858235
122,1177781.0237905493
123,1182730.045699158
124,1181904.572862267
125,1179739.170359917
126,1185947.9278266095
127,1200822.7532632153
128,1187897.440218861
129,1201315.2812745932
130,1170123.0948604147
131,1168327.7060693484
132,1154960.8056043226
133,1149947.9250114844
134,1143066.1286027469
135,1157339.3936947414
136,1143301.0058997737
137,1154291.1717387207
138,1166098.6153073555
139,1187566.0388752294
140,1195271.8518655302
141,1191527.9506284317
142,1217063.9914223992
143,1217701.7921400564
144,1223465.2928624195
145,1233206.1899772554
146,1232330.9293413882
147,1228780.6263705392
148,1217916.0617234772
149,1221811.5075996509
150,1240921.0408759206
151,1247428.5219855162
152,1278226.6354766013
153,1284356.8924184216
154,1276573.5037794807
155,1265747.2789894545
156,1270877.5668730286
157,1256368.3660746892
158,1255965.089219514
159,1267704.7087354788
160,1283753.5093789843
161,1274413.015670012
162,1243607.96782676
163,1262412.854688689
164,1265655.405249838
165,1280927.797774674
166,1299003.5886550106
167,1299597.9066304888
168,1300256.8879864723
169,1288135.795667149
170,1287872.0758030473
171,1286938.3135620684
172,1272326.458331455
173,1262849.4785960275
174,1265182.7755503897
175,1262356.0582052085
176,1278845.4325429332
177,1291370.988483858
178,1307452.6182986305
179,1321545.335197671
180,1323610.4019422843
181,1329313.328857724
182,1325398.7201863816
183,1323295.140677987
184,1343735.2908552226
185,1348069.648943161
186,1338966.2190608827
187,1330122.491746006
188,1336037.2625223498
189,1330407.199705846
190,1290871.2277596667
191,1275064.5824441954
192,1289039.3525028967
193,1293903.7400188544
194,1290835.7396143463
195,1272254.9772014015
196,1261888.106339354
197,1269791.7346975016
198,1284868.6513420825
199,1285173.4319776862
200,1310626.9650361899
201,1291298.701682721
202,1299970.7866895278
203,1296866.044635362
204,1318510.578716523
205,1338503.5184160534
206,1337685.2475492412
207,1366226.332573406
208,1353473.4866238467
209,1369905.0729112357
210,1358977.8026242498
211,1333025.2098398148
212,1327099.6021982909
213,1333918.4249811098
214,1302809.7390928494
215,1319245.7604349866
216,1290894.24052498
217,1291726.8142599408
218,1277328.637043426
219,1303034.525934853
220,1314260.482474664
221,1316420.5439314842
222,1343941.9870998736
223,1337511.7658239978
224,1336354.4537720028
225,1338496.302830813
226,1354868.1647689813
227,1376328.1266383757
228,1360770.7390856103
229,1356567.2000182443
230,1334970.5736790441
231,1316422.8120936654
232,1341354.998253786
233,1330048.5979582118
234,1347821.1872794733
235,1301381.8046386386
236,1309730.3807999343
237,1296651.6978016826
238,1333242.849855022
239,1337318.4651600614
240,1331363.5849480308
241,1335110.2918615357
242,1333343.442868538
243,1304385.945219739
244,1298995.3916565867
245,1307893.1117383312
246,1313751.4031039877
247,1322078.1573671172
248,1317825.3859741376
249,1331742.0520951939
250,1308021.662397444
251,1307729.7558109013
252,1314794.6630146815
253,1322239.0914909933
254,1323007.9284856606
255,1323820.3105674172
256,1338919.8416987956
257,1341671.1971158541
258,1334122.4864200521
259,1338843.6315009063
260,1346202.9080619414
261,1362226.3180460902
262,1357294.1691184985
263,1343579.4362502273
264,1335955.0325166003
265,1331349.8941592227
266,1342445.4997203297
267,1354799.0784453852
268,1349438.215993037
269,1364901.8949227396
270,1374371.1133739322
271,1361474.4333549964
272,1371129.3545982728
273,1384575.3568176362
274,1367420.4666607243
275,1353655.6040661724
276,1335899.3072818068
277,1341786.8648071333
278,1339820.7867093515
279,1326523.043253113
280,1304933.7834244617
281,1301001.3756684181
282,1303041.9310501795
283,1313702.1004009547
284,1295054.6070543267
285,1265451.26481552
286,1236001.2490801963
287,1240505.6114700024
288,1252622.456588809
289,1248470.5615367834
290,1257668.5011375532
291,1249396.6068794327
292,1247795.6540243167
293,1266243.1443524067
294,1271563.6393918677
295,1274289.6799881614
296,1267599.6314643433
297,1268946.7087954988
298,1259849.9686847576
299,1260407.518829195
300,1234697.700794914
301,1246962.147104972
302,1247037.1725034614
303,1252775.4313384197
304,1264518.1683343372
305,1264172.4666102873
306,1288302.0189106294
307,1282000.8933837588
308,1277658.7248565631
309,1277905.2623507592
310,1279022.6632559323
311,1293542.6961831881
312,1277198.9646275563
313,1299141.006251424
314,1313839.16718174
315,1307293.2650629196
316,1294357.4983438454
317,1301069.6868341053
318,1299768.6728709622
319,1283321.8116755486
320,1285804.0223071857
321,1295424.8313628007
322,1299455.9124364022
323,1299917.4071589091
324,1306404.2235186694
325,1324878.8144848524
326,1322537.166386109
327,1329702.1752605413
328,1327819.0745501665
329,1321566.1315584234
330,1317038.993707629
331,1335282.3442434662
332,1335962.9034786876
333,1331420.2812053117
334,1340710.8680205953
335,1343813.8801754583
336,1328971.195212328
337,1327343.7782014797
338,1344941.7448038354
339,1345245.6245899997
340,1334196.3057864495
341,1349921.996238574
342,1360017.9771771263
343,1318163.4502253819
344,1308980.0274332631
345,1337101.0531024751
346,1333157.8913474113
347,1312610.812184451
348,1299883.6285413627
349,1267103.3304584543
350,1232782.1225197923
351,1200405.1043536526
352,1257155.938295374
353,1259867.6106431484
354,1262379.6589659248
355,1251461.0865897122
356,1218651.5991932198
357,1215223.1959184771
358,1216317.2037300335
359,1207052.568356298
360,1186817.5276479446
361,1193190.091243284
362,1185777.8184544244
363,1165961.8315683536
364,1176424.5575724142
365,1223152.9189054528
366,1213888.7804528116
367,1223563.1285311494
368,1230514.4835538724
369,1236242.7507861538
370,1248459.8254565839
371,1216595.790900817
372,1204094.8985936043
373,1198604.4519762965
374,1214779.3327904532
375,1241401.3556497335
376,1239218.4742624087
377,1262601.017596461
378,1276418.2655148758
379,1267786.9720986444
380,1277271.2860289495
381,1276397.6763789102
382,1276170.736667575
383,1274196.44253544
384,1267338.4092578352
385,1255247.002002729
386,1257023.0841241386
387,1263891.7567896403
388,1240535.741552089
389,1244687.751118253
390,1235118.6403302727
391,1241293.4533505868
392,1233441.311203747
393,1255833.0526846938
394,1256591.3034831404
395,1276671.991974995
396,1271507.8574795015
397,1273974.0900262455
398,1299907.2811124509
399,1303106.4603267573
400,1307898.6234324211
401,1285328.8367010495
402,1278239.549374314
403,1273775.7377870919
404,1276249.673827291
405,1303253.1108755292
406,1313501.7317219095
407,1321327.457157899
408,1335611.727418816
409,1326313.416258629
410,1337253.0622351852
411,1330702.6950471448
412,1372760.7154693776
413,1378675.7409230089
414,1368375.0644585134
415,1371634.6038735164
416,1365451.4504896037
417,1383022.739200259
418,1376650.7366650002
419,1327567.6425138114
420,1318524.3804605594
421,1321167.8841692742
422,1325482.4106649423
423,1335252.1363903913
424,1329324.1828229404
425,1309966.9271359576
426,1297085.5645849672
427,1303601.0723946781
428,1272159.4150842808
429,1270368.252735259
430,1281848.0168818268
431,1287852.2768789693
432,1282512.6179753055
433,1274911.7710569235
434,1305585.721330923
435,1305263.0793531884
436,1319467.4346691482
437,1323736.1514115967
438,1314545.746668891
439,1322208.619015289
440,1326117.2141766283
441,1328260.0880514348
442,1341289.879458142
443,1347794.8532143424
444,1347272.4914823258
445,1343495.5627668805
