,0
0,1016955.1240164235
1,1029693.9983368919
2,1039421.4138734784
3,1038722.8255976517
4,1032915.3702566281
5,1040661.7451043428
6,1028877.2102427393
7,1038572.9741536939
8,1029622.8306357434
9,1040551.2343362183
10,1047139.9928655284
11,1047808.4009682416
12,1050616.4188007994
13,1055209.4210152077
14,1063395.235030612
15,1074538.32176169
16,1092299.4525780466
17,1077160.117890786
18,1073819.6270609084
19,1063190.199554622
20,1068758.785546286
21,1069173.8112775262
22,1074407.6518989517
23,1065129.986719886
24,1065518.262302646
25,1065097.0348227175
26,1047992.6262438461
27,1072034.3753872626
28,1046866.5639763059
29,1045421.7420439613
30,1050849.3486801365
31,1046380.335679534
32,1049656.739104473
33,1041358.9577351172
34,1030858.2577706889
35,1051804.2927738843
36,1050261.2973659285
37,1038453.8002284091
38,1026544.2439654828
39,1043330.7419233378
40,1039558.0997479504
41,1033308.4925501186
42,1028305.3472480258
43,1038491.2117326644
44,1021740.0132892467
45,1028625.9013931048
46,1031413.0942229875
47,1036604.0878854218
48,1031418.9814115465
49,1041448.2451729092
50,1049902.463405866
51,1079459.0408051163
52,1079325.644655455
53,1047547.3506787467
54,1017168.8874465899
55,1000862.3964933915
56,964079.1948885233
57,981773.1857153963
58,957105.7415442005
59,975971.9381100995
60,998337.5229760641
61,996522.8471909993
62,1004988.9110832157
