,0
0,1004988.9110832157
1,1022952.8472433522
2,957804.8951930753
3,976010.4130249368
4,1007931.6061492332
5,1014442.705448692
6,1032267.1571074489
7,1032132.9705682854
8,993789.6793459725
9,968776.5064804436
10,990196.6775237881
11,997095.9369500314
12,1009604.6489777691
13,1013863.9584612461
14,1014110.5601837141
15,1019342.2299174466
16,1003219.4728398726
17,1004885.2958719752
18,1000283.898313554
19,1023743.8932951041
20,1024209.3038161903
21,1025879.4511311746
22,1028323.6505489736
23,1030738.9481318077
24,1046670.2724842079
25,1065634.3002553417
26,1084006.2503693483
27,1074212.8855122118
28,1070762.2433554847
29,1064916.3525785422
30,1072485.4879675903
31,1075923.0168418372
32,1079132.269062166
33,1091200.2050300161
34,1089615.4138990613
35,1092015.1006666683
36,1106318.0676999663
37,1106823.2897293349
38,1109322.192101178
39,1098746.9833854288
40,1120060.995344884
41,1122508.9942660134
42,1123963.6064332344
43,1137930.3108974167
44,1139624.5455981013
45,1129940.6192859306
46,1128138.5044915553
47,1128107.8859923463
48,1125175.836895356
49,1122081.3483686333
50,1130434.0534440612
51,1136012.261161708
52,1147134.328205577
53,1147556.898539937
54,1152077.41750976
55,1150556.1884038984
56,1144004.75122267
57,1132871.7455533254
58,1136933.5598150247
59,1138429.8845839633
60,1138471.9677683688
61,1122326.5456615197
62,1130089.2372365831
