,0
0,1130089.2372365831
1,1128097.0490012523
2,1147496.61652687
3,1133425.2937048324
4,1123562.262826276
5,1124435.713448979
6,1139511.7100075474
7,1133701.9690133184
8,1132189.284377758
9,1196678.6894391254
10,1253907.4420719715
11,1257047.0056805455
12,1249647.2979429772
13,1243747.5957651509
14,1243550.1648702084
15,1233255.876300204
16,1219905.1135993379
17,1228899.170754778
18,1233818.5233648983
19,1226935.3936306837
20,1260497.1991710654
21,1305869.92426882
22,1279759.8826090225
23,1289027.0854110187
24,1314061.415962338
25,1287181.7586689317
26,1278841.6447702379
27,1275429.4930817445
28,1286982.497132979
29,1318310.72829072
30,1343131.1290426638
31,1339986.1784277118
32,1275456.0759975947
33,1283098.5501686456
34,1272161.754823903
35,1284511.6436175185
36,1260881.9583155925
37,1223609.712487393
38,1184697.213441173
39,1170447.2444623231
40,1174840.8167663412
41,1170889.675938289
42,1160328.9169975882
43,1127388.4125058632
44,1219062.7990277146
45,1261442.4307216334
46,1256033.2515043032
47,1249686.8486145441
48,1252658.568553618
49,1232025.0502202187
50,1234786.4961884527
51,1240831.0458820895
52,1249200.9069274827
53,1268592.8241754924
54,1286320.106709657
55,1276688.7323854736
56,1279699.8578183502
57,1283673.6564072568
58,1268619.1593339099
59,1251323.2210297876
60,1243214.3392544186
61,1245567.967290381
62,1203962.006918194
