,0
0,1203962.006918194
1,1182066.3124085395
2,1201758.9468000152
3,1198446.583877269
4,1197573.697838276
5,1207561.0958534803
6,1205870.1873741448
7,1207503.5247906614
8,1206676.965066838
9,1216678.6543448076
10,1219318.6653087481
11,1198628.8511381953
12,1178290.9147796514
13,1197465.5074939104
14,1193389.5004088671
15,1202316.6161186097
16,1200395.8377511126
17,1211390.708297802
18,1214899.3977178854
19,1210318.0402316572
20,1211313.7676619035
21,1199322.7089820218
22,1215253.792073512
23,1197988.964870967
24,1209428.9802947703
25,1209298.037636603
26,1212633.6117489436
27,1210125.8556399709
28,1231935.5904720994
29,1224190.770579532
30,1215361.3463453045
31,1211448.4737414988
32,1212247.3068258194
33,1220296.2246113569
34,1201989.2786234596
35,1210973.281012513
36,1211746.9742804458
37,1209434.921884061
38,1178216.5825226624
39,1204517.4850803704
40,1227764.8552951703
41,1233985.092496966
42,1231456.5304734497
43,1238240.417523865
44,1246915.2260436933
45,1229260.0979137674
46,1231648.2909882795
47,1226085.397812524
48,1222230.0128579403
49,1211542.8722572043
50,1198301.2927923112
51,1210230.7772332805
52,1208454.564491958
53,1222754.0484564037
54,1220956.7793198463
55,1217303.0924550444
56,1219001.8285929605
57,1212547.4812554906
58,1220290.2389007362
59,1211297.9745316617
60,1227543.3443540395
61,1240467.9735920506
62,1233948.6237544802
