,0
0,1233948.6237544802
1,1260581.2160018582
2,1263423.8392093983
3,1254099.9304948668
4,1241084.7056980443
5,1234504.2167078499
6,1245334.7595739646
7,1251225.3488048199
8,1264617.485461932
9,1266141.9732789006
10,1262349.391580711
11,1275803.652783432
12,1276090.6882327055
13,1269227.5383695695
14,1263107.957193813
15,1255428.3092090911
16,1254652.2031232193
17,1248966.8376031276
18,1239913.929098881
19,1241764.197888742
20,1254651.117325396
21,1244539.691670322
22,1255992.8431709392
23,1257050.9102121003
24,1263147.7952600704
25,1264477.4237347683
26,1267443.4124198363
27,1267894.3160587703
28,1285584.0776852006
29,1306703.429263141
30,1328788.4671403654
31,1321264.517562759
32,1317125.635684641
33,1318963.991096916
34,1322951.0729581413
35,1313741.869102493
36,1318861.2441680925
37,1329543.6303933323
38,1324766.3776815066
39,1336526.4429196147
40,1336044.3198573887
41,1335705.2990497975
42,1343495.826109373
43,1351685.9845542903
44,1356525.3107472796
45,1336748.6731313225
46,1331269.800208986
47,1354147.1449623238
48,1359812.2921190136
49,1364240.1761378993
50,1371151.4710527202
51,1387586.3343373956
52,1384610.8858064923
53,1377422.522693481
54,1376428.2265169125
55,1375388.607973612
56,1377898.964202312
57,1409806.263085603
58,1392829.4973588781
59,1392157.5571977592
60,1385819.927946426
61,1380535.2978311554
62,1392662.148349778
