,0
0,1392662.148349778
1,1374523.9351559118
2,1379078.9819449293
3,1359784.077445656
4,1378323.0651524018
5,1388760.127051241
6,1382264.450923641
7,1388846.3026610056
8,1394215.5089114353
9,1399741.524733029
10,1399541.3557205668
11,1407747.364533737
12,1413665.293221905
13,1401322.319794322
14,1409435.0632885038
15,1417159.1034655639
16,1409025.7223020159
17,1415054.185060103
18,1404127.1654609225
19,1405321.0689626543
20,1407952.880441842
21,1408028.7318797624
22,1425802.0553289312
23,1421040.2977204232
24,1433531.2145083372
25,1438680.2506326747
26,1440309.6960280207
27,1448897.014417547
28,1452950.8866771231
29,1445971.9869769723
30,1439600.595733559
31,1438706.8448265912
32,1476173.1938259993
33,1461271.5709257475
34,1457781.8786943264
35,1465944.053254145
36,1469311.693638828
37,1468672.884745979
38,1469940.5333719554
39,1462932.7780863366
40,1468523.370680722
41,1469772.7210302723
42,1464473.5297803043
43,1451786.8724951763
44,1444526.8459729776
45,1450056.3430544196
46,1450058.0218234884
47,1463729.8558232768
48,1461240.5093104478
49,1450934.6517201664
50,1455253.7571984504
51,1458586.7657548958
52,1462389.101652524
53,1467324.647639056
54,1474105.3768914961
55,1474646.9342519199
56,1469241.2432906784
57,1475738.7895685842
58,1493382.6435590314
59,1498864.7610177116
60,1491220.7173122612
61,1494394.0964061618
62,1489002.4909540983
