,0
0,1489002.4909540983
1,1514744.7349185152
2,1513502.7313526561
3,1520560.0066060314
4,1506437.778485862
5,1512567.9996322026
6,1497592.5733165506
7,1501392.7085404717
8,1501660.5649710358
9,1484112.8045959475
10,1491908.8425616107
11,1511281.8020130363
12,1529582.2017821043
13,1502370.755949024
14,1479050.9722598512
15,1493817.1659074214
16,1488204.9049951634
17,1487061.5496680501
18,1470609.9292082465
19,1461111.9092868965
20,1452766.5473640193
21,1451873.283175628
22,1448914.3101782154
23,1455745.3938856449
24,1490212.948169435
25,1493917.4950890995
26,1484202.8353509696
27,1478087.6361001949
28,1480177.9647029291
29,1484882.4450563765
30,1472365.9493747405
31,1469768.632189767
32,1457898.83837364
33,1452372.4588214257
34,1467552.9681665238
35,1467155.7211994343
36,1479380.2709642998
37,1511542.6317091114
38,1503006.3069259822
39,1503793.9412043775
40,1506907.9607469675
41,1486763.7932973695
42,1490889.5899445557
43,1418162.3938959334
44,1440160.5972387558
45,1416881.9319629816
46,1391709.6472446402
47,1361101.121330853
48,1361210.43739732
49,1364279.1551295137
50,1372434.298872379
51,1358990.7066722203
52,1360241.4971565246
53,1356134.714207256
54,1359855.0920043732
55,1356877.5921485662
56,1382555.0465292074
57,1373537.309060081
58,1383867.23732245
59,1415328.3082121243
60,1446080.4367965048
61,1436862.5958605239
62,1435924.5200588936
