,0
0,1435924.5200588936
1,1403693.584679466
2,1399288.2137381565
3,1393324.5616763036
4,1393793.897307586
5,1399480.7341505077
6,1403822.788023784
7,1393171.2438257032
8,1387543.647589221
9,1405464.8946763345
10,1407734.792314917
11,1403495.052795437
12,1410548.4572896159
13,1410651.186688083
14,1415371.7515444383
15,1414713.6612034028
16,1416140.865432458
17,1422779.2415924456
18,1439887.85032462
19,1437515.2334586983
20,1445184.1487587232
21,1451872.6194183787
22,1466962.8295115447
23,1474588.4902525023
24,1471915.0518272677
25,1467342.9678062098
26,1455891.337451947
27,1456553.2103591822
28,1473035.9011152002
29,1478877.684179085
30,1473373.9584536974
31,1473734.6911577063
32,1472256.042100747
33,1476913.217779809
34,1488027.4929385607
35,1494549.37379196
36,1501508.5498641534
37,1493161.6191790898
38,1512037.8484915248
39,1504469.8093008283
40,1494149.3547201888
41,1486371.6402199706
42,1492181.2284242217
43,1471429.2442950807
44,1432945.4587960332
45,1432228.9887083159
46,1434550.3914557458
47,1424784.357103427
48,1424495.7353078262
49,1427430.0089797478
50,1427021.5454070815
51,1435336.775182987
52,1442724.3937765073
53,1451292.5784472567
54,1438220.8256593863
55,1447668.063569531
56,1444306.5136847654
57,1440901.7023054797
58,1439164.9661821318
59,1454104.713099766
60,1441358.8773113494
61,1418962.630050663
62,1410377.026007545
