,0
0,1000000.0
1,993717.2165445745
2,986255.6407835264
3,980899.8385606573
4,993045.8989024631
5,956314.1496905633
6,954664.2661732117
7,932248.0379575877
8,934239.3489655966
9,951297.1499664715
10,958142.4576273421
11,942588.9203158306
12,908613.326941595
13,891870.5893715026
14,914506.8038395669
15,889057.6822672884
16,897969.1480874292
17,899872.9300586688
18,909736.9241187045
19,921849.3431606279
20,919984.5163659345
21,928461.664866631
22,933261.6609466448
23,948278.4063632765
24,929435.722092351
25,936462.6999051904
26,949496.9567491473
27,926983.8987557064
28,897720.2997016899
29,903418.2249725099
30,899891.3447588102
31,903270.0247087362
32,907250.948192096
33,898314.5928177347
34,903453.012587975
35,939129.9377267606
36,952240.398278251
37,908164.0711320017
38,906263.4821908176
39,894087.300401123
40,894093.8783264906
41,898867.409411641
42,895422.9196337864
43,888416.5856935156
44,898285.5927348362
45,908898.063819225
46,904153.5126893757
47,942241.6842089279
48,956097.2729635692
49,947127.5396762666
50,965114.233231041
51,964839.4887204516
52,983456.3318398662
53,983375.5750452417
54,968528.8373834727
55,1016999.2997236027
56,1082548.9895314416
57,1042346.0666378406
58,1055647.0361309058
59,1066141.0520539668
60,1046406.020652353
61,1028997.3706999521
62,1017110.9530156222
