,0
0,-3898.3199160448276
1,-159.3032726305537
2,0.0
3,-3277.785647528013
4,-832.8147818208672
5,-350.89302300894633
6,0.0
7,0.0
8,0.0
9,7047.501331626205
10,-111.88667652616277
11,-1263.315908951452
12,-277.8652349896729
13,7482.186704873107
14,11262.231093669543
15,-7726.469839448808
16,16474.348429129925
17,365.10087435832247
18,4465.3516667941585
19,8463.794375597965
20,10022.88950644317
21,-4414.525460439501
22,-807.3869573278353
23,-3134.9540746924467
24,-556.6037613665685
25,4835.376335264649
26,-21826.06450030487
27,-330.56669073551893
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,564.6993722827174
42,14002.130884470651
43,18615.94916960341
44,-7074.04142560903
45,6515.768419661792
46,6681.690168219851
47,4830.883852504659
48,-6090.181647459045
49,-557.8946427153423
50,3346.62230108981
51,-857.771612796234
52,3155.5079532032833
53,21731.24965101783
54,5067.1242507086135
55,3648.652409207076
56,-21847.07802976598
57,-12852.86271554674
58,22738.392813451122
59,23885.75560310087
60,75835.85294346255
61,-6580.906879197108
