,0
0,-288.253342576907
1,4016.678471709951
2,4985.058132995153
3,-7557.981921952567
4,607.0409756788285
5,-6695.251362339826
6,-6088.781615743646
7,-6358.701997012831
8,-11344.372676229454
9,1145.1098998958478
10,11185.836833956884
11,-15975.03013243049
12,-9630.502703105914
13,4067.000136055867
14,-3675.177162734326
15,-9542.12692519778
16,21246.790311764693
17,583.488814359298
18,18804.18071091408
19,-24794.583470856538
20,4547.179897626862
21,-4434.854428304709
22,17554.794176254538
23,42761.37242831488
24,-3220.5597963236505
25,39269.916776616126
26,18348.140023578657
27,-35618.562261709594
28,-21311.97048619704
29,-2780.8906561984913
30,18987.171915254323
31,-28751.42030404217
32,-32949.386938107666
33,-18071.7678193819
34,14640.921122680185
35,-33794.143136248575
36,560.494705152465
37,-5234.518605464138
38,-26069.970113144955
39,25420.97129984526
40,-18093.510539798648
41,-29258.337706218474
42,-47706.343845715746
43,-1854.7745166954119
44,-75433.2157969625
45,41320.517706306186
46,26350.67607915413
47,40205.71189566387
48,-9826.074467771454
49,-21484.02967449813
50,-11394.56047737645
51,-12130.381158647127
52,26840.356195881846
53,38373.1849841075
54,32305.256420497666
55,-14548.566856462741
56,40312.003422270645
57,-14913.668523735716
58,229.24228684068657
59,13046.237847469747
60,-59573.10091991536
61,-28962.98664682894
62,22614.456622882746
63,31595.564369801083
64,51294.27475077135
65,20233.256880569155
66,14794.820676230243
67,-55463.233221373404
68,-10689.245625620708
69,59237.058893341804
70,2260.3157711778767
71,11535.799536371604
72,-8083.04663510737
73,-7111.7778744155075
74,38955.58833166212
75,68686.80266998673
76,-56976.441549836076
77,358.939681650023
78,22239.91574661131
79,26476.643595185364
80,27240.59738616692
81,-35296.916653001914
82,-5870.553847312927
83,18580.69089743262
84,36657.388178645866
85,-10993.756659910548
86,79974.15956257959
87,32094.456322632264
88,-1905.8566902251914
89,-37816.42114976421
90,-19280.452255857643
91,-8099.597993283533
92,11774.192805572413
93,-74814.35225685872
94,-14523.773483555065
95,35002.04273872147
96,12961.090219755657
97,37918.921788849635
98,75770.03627156513
99,-39085.68641649303
100,8395.736632543383
101,3828.601650958648
102,-22450.08880762034
103,-24392.856623112923
104,-6451.320583962137
105,16813.734848933993
106,62938.97517886455
107,9972.850725349737
108,-55972.36903730733
109,13455.728834982496
110,-17922.15169443935
111,-7024.383940072963
112,36240.916399818845
113,57037.89663754823
114,9979.812963854056
115,-17452.053368507884
116,-52455.24300888553
117,13675.03627723013
118,-40014.797201730544
119,-15116.736024276819
120,-2474.874817693839
121,-47820.51194477477
122,5293.660774448188
123,14005.46366312122
124,-20221.451275474858
125,-9697.83790667518
126,22652.128401033115
127,14296.533423713874
128,17225.732417349936
129,-52635.87133136182
130,-17961.622635571286
131,-31925.589953856077
132,1471.6895860934164
133,-10004.560905333608
134,-10942.692661797977
135,6312.650388176204
136,13634.410670937505
137,18151.429038044764
138,33642.551688611275
139,2888.411563671194
140,-14843.321375654312
141,35355.69760609977
142,20090.673748053843
143,-27209.707657310646
144,33270.255499849794
145,-48.01976924575865
146,-2507.847671191441
147,-4951.002973691095
148,-27907.523221966112
149,31165.057569569908
150,30777.089577818522
151,63800.50983224693
152,20044.151461849688
153,9416.58018147177
154,-11923.69446132495
155,-16318.1642949034
156,-3895.7661391033325
157,-34422.87287449138
158,-18992.315928535303
159,36126.94597476558
160,27391.643798802746
161,-39629.70275215665
162,17516.96873707068
163,-34422.57805774687
164,2452.8032355734613
165,83332.13451817748
166,57697.95858736802
167,-20779.167434514267
168,-8605.15929838526
169,10994.41995717492
170,53642.25179548934
171,-34447.924476491986
172,-27264.577918556053
173,-88318.78504586895
174,-11229.530713048298
175,43547.57737349905
176,14231.951809600461
177,199.033779903315
178,6557.387295199791
179,14526.377646055771
180,-24715.885247964645
181,-8398.726493990282
182,18882.17047455255
183,34465.59792513237
184,-16465.35458661802
185,-2686.795667425031
186,-2934.742850613082
187,22053.6307308909
188,-15102.789365346543
189,-45163.1564180213
190,8403.19425971643
191,18081.132729389472
192,13903.866388149094
193,3510.092996417545
194,-29765.37250679033
195,-13647.753418998327
196,19226.38410185883
197,65711.11862964625
198,-14681.430570633383
199,43939.2365183949
200,-8108.761771056801
201,58047.80505516543
202,-15233.198090742342
203,68789.68713426101
204,-31165.386648526648
205,-17003.4488240364
206,13173.03080171626
207,-31624.67487273342
208,17459.978006725665
209,-29754.243314803345
210,37930.5549703592
211,-52590.000769157894
212,-34063.30045026052
213,-64778.749587049475
214,35698.11462109629
215,-26470.55068973475
216,20226.83049478242
217,-3956.4434229054023
218,31764.173557851696
219,3080.150041957153
220,-15589.931086381664
221,52184.35939396359
222,-5246.756640033564
223,32274.77320388169
224,-77000.78583744587
225,6767.7904120278545
226,47728.27588057052
227,-18387.57700090483
228,20024.922600744758
229,-21409.543738889042
230,-14031.172094589565
231,37525.950369758066
232,-19443.86712196446
233,8601.193334537791
234,-42060.476913223974
235,15065.896575087914
236,10577.889779334888
237,25008.548930206103
238,1715.0861033531837
239,-22105.010103674373
240,5382.848685892066
241,-9343.450281832833
242,-22586.691536611877
243,-10369.239385872846
244,18586.00761439558
245,-8178.280491420068
246,1644.5412304028869
247,-9667.53385763825
248,22209.593861266738
249,-42616.403977074195
250,12957.187867770903
251,-6733.222236181144
252,3023.1320696482435
253,8330.191821692046
254,6648.6663025293965
255,9349.48631584458
256,-3084.8980637690984
257,-3175.582633455051
258,-2987.9816002484877
259,48086.637122420594
260,-630.5208042282611
261,6987.245731855044
262,-6748.088994188234
263,25795.501102040056
264,29482.73584299814
265,40389.58934180485
266,34135.31591333868
267,-431.26641669659875
268,-7722.342055719113
269,25605.109035591828
270,8466.779804051155
271,7731.359517128207
272,-1825.1169527929742
273,-39990.74718164443
274,-17512.393522915896
275,-3306.1524616591632
276,5025.364294138271
277,-34263.66960012703
278,-26161.117306146538
279,14011.3841324565
280,20351.410161704523
281,21751.77359286649
282,21919.971081781667
283,-3964.537025956437
284,-48512.15418859199
285,-44388.54417115869
286,-11043.145677030785
287,27533.59550420777
288,2084.269756943686
289,5958.6372546837665
290,4541.595856196247
291,-12084.476317384513
292,20474.530258381274
293,10305.010338023305
294,-357.52933190134354
295,-5430.953648966271
296,15642.65985986311
297,-22522.272300868062
298,7840.924066293985
299,-38830.605794825125
300,9122.57296526921
301,32720.369181457907
302,6000.218568355776
303,26229.562362133758
304,-59344.94841840514
305,40675.56749972608
306,-13636.093583480688
307,-16117.651817908045
308,42223.352596409386
309,-12356.137900566915
310,2585.9741192674264
311,-14049.084943080321
312,13573.066801282344
313,-8838.591494732536
314,-17287.87780280714
315,-18315.123088938184
316,8991.945882861037
317,13011.21832580329
318,-23160.349337534048
319,-8265.806296129711
320,-9081.617354862392
321,5810.916585897794
322,1004.5792428248096
323,8215.38789689797
324,29999.470610171324
325,-5470.503935107496
326,-1398.3416439834982
327,-7490.108600828797
328,-3662.7581070496235
329,-8578.287647240562
330,32093.06798613118
331,17269.207060220884
332,-22351.068013842916
333,79861.69917282439
334,44017.56484931451
335,-37562.06011926383
336,-5018.646675247466
337,8485.918843764113
338,-615.6315789332148
339,-20931.705667731818
340,70039.12891959446
341,771.3867573509924
342,-34181.697999062715
343,-28436.68807987729
344,25500.51783778472
345,-7583.793621469522
346,-10524.183922564145
347,-56098.7584258304
348,-61792.42104391591
349,-22814.374553663423
350,-38407.1934615178
351,91500.05333881895
352,-30897.230534428963
353,105804.4291629158
354,-43892.75421801512
355,-19462.5184991071
356,2029.749916904606
357,-4471.394836977357
358,-31878.628955422668
359,-64627.07767840568
360,4130.3746323715895
361,-72448.82438286208
362,-7.1714740274474025
363,43698.93023711583
364,78958.15322129591
365,-27240.264054535422
366,22297.100538397906
367,-6702.720126681728
368,-4769.271379501559
369,23094.23220862006
370,-45005.82407837408
371,-22638.356645649532
372,-592.146613403922
373,25498.45115150977
374,51909.321932638995
375,28032.2593757601
376,44442.19983564876
377,31619.076287858188
378,-26081.79600919434
379,25184.018577651586
380,12384.586110744392
381,28729.402305066353
382,-29262.26762759383
383,-12625.204596927622
384,-32170.959493786097
