,0
0,1000000.0
1,999711.7466574231
2,1003728.425129133
3,1008713.4832621282
4,1001155.5013401756
5,1001762.5423158545
6,995067.2909535146
7,988978.509337771
8,982619.8073407582
9,971275.4346645287
10,972420.5445644245
11,983606.3813983814
12,967631.351265951
13,958000.848562845
14,962067.8486989009
15,958392.6715361666
16,948850.5446109688
17,970097.3349227335
18,970680.8237370928
19,989485.0044480069
20,964690.4209771503
21,969237.6008747772
22,964802.7464464725
23,982357.540622727
24,1025118.9130510419
25,1021898.3532547182
26,1061168.2700313344
27,1079516.410054913
28,1043897.8477932034
29,1022585.8773070064
30,1019804.9866508079
31,1038792.1585660622
32,1010040.73826202
33,977091.3513239124
34,959019.5835045305
35,973660.5046272107
36,939866.3614909621
37,940426.8561961146
38,935192.3375906504
39,909122.3674775055
40,934543.3387773507
41,916449.8282375521
42,887191.4905313336
43,839485.1466856179
44,837630.3721689224
45,762197.15637196
46,803517.6740782661
47,829868.3501574203
48,870074.0620530841
49,860247.9875853127
50,838763.9579108146
51,827369.3974334381
52,815239.016274791
53,842079.3724706728
54,880452.5574547803
55,912757.813875278
56,898209.2470188153
57,938521.2504410859
58,923607.5819173502
59,923836.8242041909
60,936883.0620516606
61,877309.9611317453
62,848346.9744849163
63,870961.431107799
64,902556.9954776001
65,953851.2702283715
66,974084.5271089406
67,988879.3477851709
68,933416.1145637975
69,922726.8689381768
70,981963.9278315186
71,984224.2436026965
72,995760.0431390681
73,987676.9965039607
74,980565.2186295452
75,1019520.8069612073
76,1088207.609631194
77,1031231.168081358
78,1031590.107763008
79,1053830.0235096193
80,1080306.6671048047
81,1107547.2644909716
82,1072250.3478379697
83,1066379.7939906567
84,1084960.4848880894
85,1121617.8730667352
86,1110624.1164068247
87,1190598.2759694043
88,1222692.7322920365
89,1220786.8756018113
90,1182970.4544520471
91,1163690.0021961895
92,1155590.404202906
93,1167364.5970084784
94,1092550.2447516196
95,1078026.4712680646
96,1113028.514006786
97,1125989.6042265417
98,1163908.5260153913
99,1239678.5622869565
100,1200592.8758704634
101,1208988.6125030068
102,1212817.2141539655
103,1190367.1253463451
104,1165974.2687232322
105,1159522.94813927
106,1176336.682988204
107,1239275.6581670686
108,1249248.5088924184
109,1193276.139855111
110,1206731.8686900935
111,1188809.7169956542
112,1181785.3330555812
113,1218026.2494554
114,1275064.1460929483
115,1285043.9590568023
116,1267591.9056882944
117,1215136.662679409
118,1228811.698956639
119,1188796.9017549085
120,1173680.1657306317
121,1171205.2909129378
122,1123384.778968163
123,1128678.4397426113
124,1142683.9034057325
125,1122462.4521302576
126,1112764.6142235824
127,1135416.7426246156
128,1149713.2760483294
129,1166939.0084656794
130,1114303.1371343175
131,1096341.5144987463
132,1064415.9245448902
133,1065887.6141309836
134,1055883.05322565
135,1044940.360563852
136,1051253.0109520282
137,1064887.4216229657
138,1083038.8506610105
139,1116681.4023496218
140,1119569.813913293
141,1104726.4925376386
142,1140082.1901437384
143,1160172.8638917923
144,1132963.1562344816
145,1166233.4117343314
146,1166185.3919650856
147,1163677.5442938942
148,1158726.541320203
149,1130819.018098237
150,1161984.075667807
151,1192761.1652456254
152,1256561.6750778724
153,1276605.826539722
154,1286022.4067211938
155,1274098.7122598689
156,1257780.5479649655
157,1253884.7818258621
158,1219461.9089513707
159,1200469.5930228354
160,1236596.538997601
161,1263988.1827964038
162,1224358.4800442471
163,1241875.4487813178
164,1207452.870723571
165,1209905.6739591444
166,1293237.8084773219
167,1350935.76706469
168,1330156.5996301756
169,1321551.4403317904
170,1332545.8602889653
171,1386188.1120844546
172,1351740.1876079626
173,1324475.6096894066
174,1236156.8246435376
175,1224927.2939304893
176,1268474.8713039884
177,1282706.8231135888
178,1282905.8568934922
179,1289463.244188692
180,1303989.6218347477
181,1279273.736586783
182,1270875.0100927928
183,1289757.1805673453
184,1324222.7784924777
185,1307757.4239058597
186,1305070.6282384347
187,1302135.8853878216
188,1324189.5161187125
189,1309086.726753366
190,1263923.5703353446
191,1272326.764595061
192,1290407.8973244505
193,1304311.7637125996
194,1307821.8567090172
195,1278056.4842022269
196,1264408.7307832285
197,1283635.1148850874
198,1349346.2335147336
199,1334664.8029441002
200,1378604.0394624951
201,1370495.2776914383
202,1428543.0827466038
203,1413309.8846558614
