,0
0,1017110.9530156222
1,1031203.7200893663
2,1041051.4382740092
3,1033776.3010158007
4,1019440.0946529573
5,1030783.4319808501
6,1013795.4248006789
7,1026140.0836195227
8,1017588.6022456763
9,1025261.3048553221
10,1027831.1101878862
11,1029583.2455011017
12,1037722.9629655805
13,1036811.4786854651
14,1036962.659734119
15,1039993.8230499121
16,1055075.0818993514
17,1044536.1118298081
18,1038847.0842800321
19,1031727.4326431472
20,1036676.3362259023
21,1044869.4412366045
22,1048096.2194028782
23,1046873.1894394188
24,1037829.0211821368
25,1038013.8783117352
26,1028802.5501843165
27,1019094.7909279169
28,1021640.8837536458
29,1019596.5694444119
30,1029139.369757257
31,1033323.1652308244
32,1031700.2092387283
33,1024570.2317307333
34,1023507.0851888238
35,1028611.0593796505
36,1033965.0762460897
37,1039149.916993786
38,1023595.6140316643
39,1033915.697819586
40,1035287.6806674341
41,1058513.2943345066
42,1067687.8030151885
43,1062411.0572323792
44,1062863.1198881862
45,1060081.0995873327
46,1049259.2196364915
47,1038167.8477450678
48,1039622.5732379577
49,1050836.3621298757
50,1049212.9115211156
51,1058004.5952310644
52,1059235.9941594112
53,1048492.53944944
54,1016399.484427389
55,1005043.9406926831
56,977652.9702046721
57,987297.4900225376
58,977904.8220537467
59,997102.6797190129
60,1052687.165683797
61,1051454.829653276
62,1056349.2004117775
