,0
0,1056349.2004117775
1,955119.2236727726
2,880955.1723267764
3,919109.1885592507
4,955496.4779120029
5,967982.5609124361
6,973948.5532286953
7,961546.7670962077
8,933885.2574520592
9,914969.4744833815
10,934302.6698250171
11,950156.783346071
12,970639.3568276995
13,987078.9107170488
14,977990.1387566457
15,989974.4817775349
16,980120.0447894828
17,988613.1511029408
18,981809.6124517183
19,994597.8330001212
20,990077.0646307794
21,986406.3129512183
22,991487.7947735258
23,989109.0173678227
24,1003883.8493184169
25,1005897.2702403705
26,1015108.8606617054
27,1008270.5423070366
28,1011883.8423143973
29,1007520.5154991897
30,1010118.3674419953
31,1017577.2847149195
32,1018622.7199711942
33,1021476.9979307827
34,1020755.7429524035
35,1022339.2723622835
36,1024454.2795968312
37,1024891.1826661368
38,1031447.9651118664
39,1026588.1627649002
40,1038823.408797542
41,1028632.7138590957
42,1034012.1309601893
43,1041130.4870364551
44,1042681.262963302
45,1036700.3766547783
46,1032845.4574757039
47,1035941.9390488596
48,1034506.2003808197
49,1031817.9513236753
50,1038831.101600388
51,1052220.0647849194
52,1052886.05776172
53,1060232.3136243057
54,1058325.3461311015
55,1055992.0143947843
56,1039778.1455635707
57,1028393.3222747836
58,1021195.4565559694
59,1024383.6775441316
60,1026911.5780001269
61,1011863.8964934718
62,1020255.8522749909
