,0
0,1020255.8522749909
1,1020181.812988539
2,1036631.4425062118
3,1030474.6951649857
4,1018659.8719518551
5,1017092.5579053516
6,1023260.7088554797
7,1013405.5892472182
8,1015609.0668232784
9,1017764.8377345738
10,1020354.0858402742
11,1018312.3442897319
12,1005894.3916771901
13,993455.1273296434
14,991150.1390320992
15,973294.8370866464
16,969092.1981333926
17,970872.1316730181
18,974152.728607036
19,968668.9808724718
20,983919.8417654487
21,984128.5523553089
22,984004.7967907314
23,980215.2286092791
24,976316.7427848516
25,971675.2626884946
26,971883.708698414
27,962921.2079453741
28,969427.5207160538
29,964904.163776642
30,963098.4380680773
31,961813.7456361345
32,965364.7734086693
33,958542.6115404814
34,960179.1769544013
35,968903.6987344342
36,971075.2366228857
37,971497.6657652648
38,959899.7888337167
39,947362.27931819
40,951916.6149139806
41,946008.1615945589
42,947411.3103673822
43,943477.3022577715
44,949215.7302622913
45,946884.9025799091
46,941837.4963238849
47,947053.8988702364
48,954928.6226394995
49,947213.9901212673
50,951627.2168093027
51,949812.8435901371
52,949560.739790478
53,951632.9603778522
54,955780.7500092542
55,955164.2554333784
56,963437.9444353681
57,965284.8523430271
58,970011.7365693629
59,966985.0686912118
60,975626.9720072792
61,965010.2873584753
62,959448.1319897027
