,0
0,959448.1319897027
1,957988.5890757329
2,960310.5991254596
3,960252.6730038881
4,958392.0597440713
5,962924.9777046178
6,965310.9328945049
7,964637.7827579221
8,963334.4595398764
9,971518.1141518523
10,974946.364494054
11,978868.2369155665
12,977279.430999936
13,980070.8629617465
14,998515.5880515601
15,999023.4699439487
16,994546.6451798634
17,979441.3805548256
18,994757.9838233996
19,1001137.5303414265
20,1008647.9795165915
21,995144.5780065152
22,1005894.026793915
23,981454.141457931
24,991144.6081602754
25,993043.9946738486
26,997274.9018827551
27,994154.0720473725
28,1018037.1455895429
29,1012933.5769257643
30,1005094.1273484917
31,1001199.1562662518
32,1004551.0625268222
33,1013700.4578601815
34,1001269.9621541714
35,1008057.1692355524
36,1004700.4905142807
37,1003159.1776853836
38,982541.9742386523
39,998752.9184357701
40,1014607.6319738072
41,1021562.6693810463
42,1021200.6833503554
43,1028265.9015968425
44,1037087.8372190386
45,1019240.1935770541
46,1021122.5273971723
47,1016355.7908980144
48,1014035.4693357012
49,1004260.793344336
50,987540.9099319022
51,995932.7088584724
52,996749.1001771789
53,1010812.4555597949
54,1009293.6937628362
55,1011536.6755823733
56,1011150.5790356386
57,1005890.923084495
58,1013473.0696902182
59,1009166.1759189547
60,1025248.9193162133
61,1033715.6555333562
62,1023392.4516791978
