,0
0,1023392.4516791978
1,1051097.456528686
2,1055084.8467280886
3,1045882.2661434355
4,1035131.447830036
5,1025020.702581445
6,1037920.9513914112
7,1045208.5457229099
8,1057805.1975033968
9,1057193.2743498313
10,1050972.78597151
11,1060271.2243874103
12,1061191.6185044323
13,1057737.442026069
14,1049596.7379745618
15,1042930.9228116914
16,1040134.5392159207
17,1033597.8206682134
18,1024773.6581523202
19,1023934.3663104672
20,1039043.9048482729
21,1033113.6813698162
22,1050906.333464755
23,1052771.6375104722
24,1062016.946886945
25,1070354.777297505
26,1079185.3555338709
27,1077112.0752026509
28,1083945.0174001025
29,1104657.3318908378
30,1115073.3322965126
31,1114091.3256557605
32,1119448.5762896747
33,1104730.5797312064
34,1111059.4016831599
35,1080865.551731043
36,1094146.7456203967
37,1103720.3296368718
38,1102033.79955794
39,1106830.670851371
40,1090697.2445114818
41,1085462.8055463256
42,1088802.9761341396
43,1094509.7743313676
44,1103352.6582040149
45,1094220.276127808
46,1084581.712089756
47,1111431.0759276077
48,1113974.4099831146
49,1108256.5207352818
50,1114763.1870253081
51,1127687.682405129
52,1122587.256330784
53,1117077.951966494
54,1114580.2616605712
55,1118327.5281928366
56,1121088.0304687396
57,1149882.6783663712
58,1137594.3563965196
59,1143540.2643304178
60,1140256.8147337546
61,1134933.4075139398
62,1135550.8196505627
