,0
0,1135550.8196505627
1,1133468.9310458375
2,1137694.8268747139
3,1123982.5683787642
4,1137006.1070447052
5,1142542.7175670466
6,1133732.8721754258
7,1133715.1811130291
8,1132491.0857198394
9,1131639.658611565
10,1141319.6299318215
11,1150250.718541624
12,1161339.1682318894
13,1155116.4070500517
14,1160189.1796049927
15,1162609.1858190484
16,1156494.387821144
17,1156652.176280522
18,1157347.0693187802
19,1159124.2313433501
20,1179485.4275608342
21,1189356.68671084
22,1188252.6557646543
23,1186198.7998660489
24,1197450.8744737764
25,1204019.9760433002
26,1211754.7282793648
27,1215493.8393910218
28,1218532.0848565367
29,1200967.0522070928
30,1197536.7089618945
31,1199309.5526181648
32,1208728.7008977244
33,1210774.8846800649
34,1208009.61670952
35,1217538.6160705884
36,1218160.6688403154
37,1213757.4174893447
38,1203154.6637668107
39,1198881.1013627592
40,1202787.4500812204
41,1205655.0939810674
42,1199613.2125600262
43,1183907.456974558
44,1177003.0668065113
45,1190571.8333522605
46,1183643.0995083998
47,1202294.7271158113
48,1179496.3600427671
49,1178077.3766884129
50,1195348.5292831915
51,1206863.0033148394
52,1205826.9552260595
53,1191611.6891482766
54,1205293.9019787994
55,1201336.2505057333
56,1189930.3969955805
57,1194109.341561253
58,1201015.4243050297
59,1188353.7773309683
60,1187501.777234385
61,1181347.801261663
62,1172383.5982920334
