,0
0,1172383.5982920334
1,1192127.5413720887
2,1202714.0651759647
3,1205308.8919896437
4,1190190.4965681077
5,1191599.62765909
6,1185885.6740760598
7,1187535.933697963
8,1189482.4568755482
9,1182692.4036100055
10,1185809.9016997244
11,1185425.3603478963
12,1176984.6667705984
13,1168561.268182266
14,1161346.0870512617
15,1168223.6893154294
16,1172845.5613866285
17,1175376.6680432013
18,1177347.0647167685
19,1181970.1992318179
20,1176355.1613560917
21,1176054.7348395938
22,1181950.6569199318
23,1186149.0662559778
24,1188645.8923499174
25,1192349.5008390837
26,1193876.2343862979
27,1189250.7711548465
28,1183702.3306090855
29,1181954.4008345765
30,1177270.8663953112
31,1177000.1621900501
32,1177731.1905760807
33,1175206.2036387422
34,1175389.6808678147
35,1179532.863459377
36,1182319.2738634255
37,1182156.7672170596
38,1181813.046577357
39,1182250.8436881881
40,1184771.0764656954
41,1186001.450785195
42,1187172.3421059693
43,1186539.3847628916
44,1184474.8270891304
45,1171599.325156237
46,1169978.2796563895
47,1161556.730355842
48,1165916.4995881869
49,1161038.9613766316
50,1169578.3421631807
51,1174044.8441771714
52,1177096.3436523865
53,1185492.8860340605
54,1184983.812329963
55,1182878.7020505685
56,1182087.1556738731
57,1177660.9204650668
58,1179538.6773485714
59,1172482.1285873186
60,1177113.2856219248
61,1175346.6702371566
62,1164247.7503153114
