,0
0,1164247.7503153114
1,1152670.6708425058
2,1151837.8576819042
3,1166489.5032946712
4,1172088.9733716063
5,1183103.6924319845
6,1191003.9195893032
7,1207383.5622759527
8,1192730.9698205115
9,1222772.4426225426
10,1224174.5074259734
11,1216695.8053777334
12,1228348.3530692137
13,1221451.3747479708
14,1233803.26027868
15,1231493.1403924269
16,1236362.712272335
17,1240323.1355310276
18,1238554.9857506324
19,1269671.2460264128
20,1277124.6729429362
21,1274244.0960572287
22,1351820.6013073775
23,1362329.2180954397
24,1358234.8139168557
25,1326921.9371356862
26,1282527.778292427
27,1291319.8932902683
28,1323151.8439439682
29,1337285.5782220073
30,1356564.7562000817
31,1360972.0938568276
32,1358162.813075588
33,1356399.5939345818
34,1362841.116800176
35,1374040.0850598847
36,1388016.8080501421
37,1391636.86251483
38,1400793.6964847576
39,1395489.4709014222
40,1391303.7894389636
41,1363558.7905795854
42,1367655.1820790006
43,1367869.1308026365
44,1352821.9570398408
45,1352145.548111099
46,1361681.9010415766
47,1348210.5600862186
48,1347802.8870353969
49,1354518.904590391
50,1354792.3387586535
51,1386143.1676564438
52,1393338.3569964834
53,1386141.114333437
54,1381073.0373909278
55,1375070.2282855087
56,1359032.1961919032
57,1362427.1631817268
58,1371673.4054278047
59,1374714.5285005693
60,1358431.4737716322
61,1306074.3682608542
62,1268298.2913002453
