,0
0,1268298.2913002453
1,1267367.2837905155
2,1318087.8509614274
3,1374072.3808165945
4,1362567.0140726136
5,1338193.468350192
6,1358947.0272739106
7,1369073.5281006373
8,1345887.3118694052
9,1351846.3805535054
10,1314391.0823491774
11,1261580.5408796822
12,1298240.081570373
13,1307745.700623526
14,1292863.0712715636
15,1307978.674285975
16,1321646.0983358624
17,1332742.8840615363
18,1312475.0374049984
19,1268939.0142834506
20,1277076.5630128777
21,1276649.5419405939
22,1278707.5709500157
23,1281136.7549690916
24,1295386.221867074
25,1308230.8868092257
26,1285665.6955374358
27,1283101.7990104696
28,1245473.9732643869
29,1271998.5669824216
30,1314349.3002983879
31,1332675.419698492
32,1335188.5494193546
33,1373146.9948281532
34,1371520.2348821429
35,1366589.3048908561
36,1349404.879222396
37,1333275.3419824846
38,1308424.2626415533
39,1317644.4994383887
40,1316726.72423413
41,1304336.7174012554
42,1325960.7097079267
43,1323579.2633244777
44,1299282.0230954713
45,1302275.9760655346
46,1296239.9873859666
47,1282135.1256972933
48,1297874.5888362525
49,1315028.5679611182
50,1347002.6036331188
51,1375848.6525293305
52,1302765.9222014372
53,1317746.944461208
54,1275985.0818439901
55,1233252.1966495295
56,1278747.771097133
57,1285465.6982482206
58,1238118.88388271
59,1273699.6297598146
60,1283664.0762503562
61,1266792.5857169516
62,1257750.0587928044
