,0
0,1257750.0587928044
1,1268752.8400677727
2,1269416.3759116067
3,1269590.7319977093
4,1272113.6216656244
5,1275431.0394709492
6,1282784.5787625045
7,1277380.1127493817
8,1282209.8312031804
9,1277386.7791641077
10,1278351.063860561
11,1277620.3723412103
12,1265120.9553761021
13,1258409.0576721153
14,1244331.0528346647
15,1250531.4701367025
16,1238415.5080600327
17,1252440.6987177548
18,1230901.876898206
19,1230700.0662589122
20,1226583.8891649246
21,1218079.2748539557
22,1237453.725762193
23,1227547.3238622663
24,1238749.5503339828
25,1240488.656402205
26,1240582.6513715286
27,1249643.746185644
28,1260612.5220840198
29,1269587.5521729263
30,1252688.1966534765
31,1262386.7934475332
32,1272282.036790903
33,1267037.3483562854
34,1266856.7670730522
35,1274087.4320242833
36,1277029.1730743013
37,1283442.7017920928
38,1275358.2218877391
39,1275941.2664271286
40,1311826.1435262
41,1318840.7645790018
42,1318348.0267745936
43,1318301.5397717704
44,1320726.6129011642
45,1316568.130929937
46,1309565.6569260883
47,1312377.0281163626
48,1310116.149582476
49,1330224.4264203014
50,1340500.2930719561
51,1346378.5847525406
52,1335823.4620922762
53,1329067.7294336103
54,1323328.0328079627
55,1309532.3329153247
56,1314032.9688127134
57,1316218.9717128165
58,1331945.4559330842
59,1342033.4395493434
60,1349442.4596227473
61,1341086.6320571322
62,1351103.3832497252
