,0
0,1351103.3832497252
1,1366402.4926532735
2,1373806.2715302869
3,1366797.795026455
4,1358311.2299112934
5,1358396.202659996
6,1343647.4073940301
7,1331801.5322479273
8,1330088.2453710304
9,1334431.989538064
10,1333186.5082744893
11,1340060.8173095651
12,1345170.4625101031
13,1350482.608082427
14,1348526.1459388374
15,1347653.2767167937
16,1350416.5105288099
17,1352671.443859414
18,1357409.6487271637
19,1349794.374798418
20,1344767.5697865293
21,1363320.47279251
22,1369761.216522838
23,1364989.6023560455
24,1357475.099806995
25,1353531.4864296715
26,1342209.0598438336
27,1340984.9333742561
28,1325918.2299916586
29,1316976.8253339182
30,1300454.2403564898
31,1296908.8466470172
32,1270523.8759689494
33,1250467.0564297927
34,1251447.4836689094
35,1249130.7903950128
36,1276341.442477652
37,1271224.0166322093
38,1254994.9244355003
39,1244104.2482050194
40,1239248.7570591532
41,1222876.9467249783
42,1200803.5262147777
43,1208396.948284159
44,1196749.8486271172
45,1199570.9184071529
46,1204856.6737891631
47,1218237.1453854884
48,1244332.113995115
49,1246955.2547555729
50,1253956.3303587688
51,1258070.4332010504
52,1282134.3952680882
53,1268544.995461409
54,1231738.5244484225
55,1199411.7118796178
56,1203612.4903835163
57,1196515.427529004
58,1199771.2508918406
59,1208753.6688820324
60,1193331.6590990513
61,1178261.291867469
62,1199327.3258498192
