,0
0,1199327.3258498192
1,1206062.5539631783
2,1215820.1088317926
3,1208987.5387092375
4,1225680.1940255146
5,1227055.7636913746
6,1225428.3339083511
7,1238404.6517014848
8,1213201.9675661607
9,1201113.7508448246
10,1186234.945786204
11,1179010.6643860408
12,1160124.6343678657
13,1163323.4365106649
14,1181208.312082231
15,1177449.7940745559
16,1166131.5385214987
17,1150716.7637071614
18,1146424.8947344194
19,1140159.1942333507
20,1131577.1062975675
21,1122887.954485431
22,1122326.5325275902
23,1122326.5325275902
24,1122326.5325275902
25,1122326.5325275902
26,1129291.9324864773
27,1130837.0930741027
28,1134191.1362131878
29,1123021.2070782038
30,1128983.4110045757
31,1163293.7661288194
32,1167976.0785610073
33,1173550.1885950463
34,1191876.432456851
35,1192687.7557396966
36,1189472.5835249317
37,1175135.0142539775
38,1177908.2794685445
39,1177918.9610252748
40,1194713.3500243034
41,1205348.7471356178
42,1208912.720476854
43,1203441.6188369931
44,1209949.245475127
45,1209498.291860139
46,1216422.9093238048
47,1203813.935765971
48,1201184.125536397
49,1213852.843475552
50,1218074.7078538414
51,1227073.7857056726
52,1226257.8836406977
53,1234670.2967293302
54,1232358.3192792202
55,1221596.7724726044
56,1213161.172076507
57,1214351.6785780706
58,1202395.8445244355
59,1203892.7759962091
60,1211821.4547079066
61,1218637.9234767745
62,1217827.9510511826
