,0
0,1217827.9510511826
1,1232391.7375349638
2,1233619.5020789606
3,1237718.0663188118
4,1247713.6155808512
5,1258410.5312773837
6,1249872.9934280745
7,1241958.4015202327
8,1247159.619701482
9,1249594.7754131581
10,1253591.0611957158
11,1250373.5355376715
12,1237652.85402858
13,1230234.2495669825
14,1249549.1080177997
15,1258166.2702115078
16,1265596.7795407888
17,1265577.1013466534
18,1268711.8040973535
19,1271717.6942706471
20,1277258.6635848104
21,1278025.4424914534
22,1276620.1417758642
23,1265063.7759317183
24,1263103.0554009976
25,1267108.0533189895
26,1268323.213187851
27,1270407.4352758075
28,1274148.9883794622
29,1291395.505899233
30,1296983.5757196387
31,1307833.684594384
32,1312507.4626207463
33,1313466.0989441855
34,1311299.6203212608
35,1311301.6079326612
36,1316707.3858382385
37,1316995.7488276302
38,1326928.754744763
39,1327527.1997261294
40,1332789.0799048
41,1332856.9222715155
42,1325162.032543201
43,1329904.8904692587
44,1328632.4519066834
45,1329391.5695722979
46,1325561.5728214714
47,1321214.5000910086
48,1328256.1466639475
49,1330237.8060799027
50,1331743.9160307364
51,1320545.8103076124
52,1317464.8513895432
53,1322150.157207446
54,1301615.1851290725
55,1293386.575083104
56,1287131.388806414
57,1266815.18237821
58,1273029.6023302206
59,1249329.912004522
60,1261979.6510425012
61,1265978.7807582354
62,1278341.0371687477
