,0
0,1278341.0371687477
1,1280727.9532652264
2,1285748.6963646319
3,1290909.126296957
4,1276398.160311614
5,1276908.0674580156
6,1290168.4676147914
7,1281509.4716643626
8,1267985.6245600407
9,1274066.1155061834
10,1277643.48878504
11,1288661.748971821
12,1287795.7145314594
13,1281178.9793284
14,1290199.9272929812
15,1301039.2917019187
16,1306288.935290498
17,1310338.366522608
18,1309533.4241509184
19,1317146.8224676347
20,1300220.403112037
21,1296708.5991483738
22,1308706.6077773524
23,1320615.0979286155
24,1334639.1534634996
25,1331232.5205064188
26,1338308.264051729
27,1334897.288728286
28,1335195.3398202646
29,1347491.2203603664
30,1358014.1831903523
31,1362769.0821725284
32,1367447.486723344
33,1372498.6319291263
34,1380032.8971407742
35,1368574.0988499378
36,1358970.1078952965
37,1353517.6265863753
38,1353155.9831550866
39,1359548.228356937
40,1363306.5214797326
41,1363682.1887847688
42,1366951.5031340837
43,1360094.007441317
44,1369073.080606678
45,1366059.2864503108
46,1362435.3252469697
47,1356045.166171307
48,1352283.3117281217
49,1349610.0399721563
50,1357335.8640055102
51,1349664.5362915974
52,1342152.1833018414
53,1342101.4368308943
54,1327655.886278148
55,1309486.7201063132
56,1281885.4698998479
57,1289988.121201864
58,1286657.0664631878
59,1299427.5913871573
60,1303698.6488495162
61,1291838.0684582847
62,1293777.9080595127
