,0
0,1293777.9080595127
1,1260421.4454005642
2,1273419.0476888572
3,1280606.6847849237
4,1274744.7014250336
5,1279426.5013546697
6,1275960.7659098331
7,1286866.7221970547
8,1282699.821252126
9,1299790.1869235619
10,1290043.058247348
11,1298829.129676027
12,1318889.0672471933
13,1308940.8452661533
14,1294262.717882286
15,1300018.578740194
16,1304392.152038721
17,1301793.135420456
18,1314367.4664401822
19,1311545.8077854908
20,1316208.92666669
21,1349473.8727711518
22,1373277.610388692
23,1391007.642944055
24,1385249.9541775237
25,1387441.1720635304
26,1383587.02502241
27,1411065.6648996982
28,1423145.0541688106
29,1414373.8253557023
30,1413021.8479725453
31,1437551.0917756038
32,1442892.9096176333
33,1444499.049756312
34,1433669.9209339821
35,1425231.0626557732
36,1404607.2713248332
37,1390828.30131961
38,1394542.9029340374
39,1397075.8523254362
40,1401510.6008255074
41,1394882.4361488917
42,1422313.8969179674
43,1428278.3005425904
44,1433920.7284093532
45,1440463.1945552824
46,1458611.2792902123
47,1459273.7562216178
48,1459795.53286203
49,1475935.3767461597
50,1470829.2384523242
51,1459140.4757715736
52,1457161.8349551605
53,1478276.7324080747
54,1476083.434772389
55,1488148.8981342176
56,1483068.8325832763
57,1495751.717057142
58,1493811.4655341934
59,1490811.0385703703
60,1483114.3168032987
61,1496182.770456891
62,1483619.2181314053
