,0
0,1483619.2181314053
1,1472317.945563598
2,1466296.9107051312
3,1464907.12349609
4,1479898.3656541957
5,1480321.1747892734
6,1477984.7516479606
7,1468928.5333515373
8,1477259.5779881177
9,1482782.0450036102
10,1503400.572194914
11,1503301.6145231547
12,1507309.2402435318
13,1506400.9812650327
14,1495521.7793184419
15,1498142.683816855
16,1480017.0164176594
17,1492404.0899873262
18,1493003.1971508057
19,1498625.1839486766
20,1501673.6466907924
21,1495698.6033806014
22,1496189.106026429
23,1501503.2109111852
24,1526107.9750837628
25,1539241.0399589364
26,1527635.8523721483
27,1524080.4941824547
28,1527990.2899176483
29,1541077.526375948
30,1534997.9385925643
31,1538887.9665440936
32,1543720.1520389146
33,1546157.5497367699
34,1553397.0479645499
35,1549742.1261664915
36,1555258.443302102
37,1563888.4537611804
38,1559453.586490641
39,1548062.0370066476
40,1539580.7611857317
41,1538140.299046457
42,1537711.569536937
43,1546180.5029079346
44,1545494.8841069266
45,1548608.3553913664
46,1556982.6168513047
47,1563286.416258828
48,1571323.4080828053
49,1577215.111374668
50,1576166.989715089
51,1572065.2397390192
52,1579632.8645225337
53,1568388.1337926309
54,1577720.8639496553
55,1551705.1699761876
56,1556717.5754516106
57,1562954.4837921807
58,1550591.6891301235
59,1542564.0660353801
60,1543163.1056115583
61,1572280.2540656524
62,1578712.838980088
