,0
0,1578712.838980088
1,1572015.7623841648
2,1571632.8010776897
3,1579226.7043406097
4,1582648.2088689273
5,1584509.0676312165
6,1577802.771117441
7,1576317.8190736503
8,1572904.7512421214
9,1585717.6773410516
10,1572503.6542069127
11,1570681.9937132804
12,1524129.2342983221
13,1500824.461959876
14,1491441.470304295
15,1445885.469983225
16,1445162.5289724956
17,1445162.5289724956
18,1445162.5289724956
19,1445162.5289724956
20,1445162.5289724956
21,1445162.5289724956
22,1445162.5289724956
23,1445162.5289724956
24,1445162.5289724956
25,1445162.5289724956
26,1445162.5289724956
27,1445162.5289724956
28,1445162.5289724956
29,1445162.5289724956
30,1445162.5289724956
31,1445162.5289724956
32,1445162.5289724956
33,1445162.5289724956
34,1445162.5289724956
35,1445162.5289724956
36,1445162.5289724956
37,1445162.5289724956
38,1445162.5289724956
39,1445162.5289724956
40,1445162.5289724956
41,1445162.5289724956
42,1445162.5289724956
43,1445162.5289724956
44,1445162.5289724956
45,1445162.5289724956
46,1445162.5289724956
47,1445162.5289724956
48,1445162.5289724956
49,1445162.5289724956
50,1445162.5289724956
51,1445162.5289724956
52,1445162.5289724956
53,1445162.5289724956
54,1445162.5289724956
55,1445162.5289724956
56,1445162.5289724956
57,1445162.5289724956
58,1445162.5289724956
59,1445162.5289724956
60,1445162.5289724956
61,1445162.5289724956
62,1445162.5289724956
