,0
0,1445162.5289724956
1,1441264.2090564508
2,1441104.9057838202
3,1441104.9057838202
4,1437827.1201362922
5,1436994.3053544713
6,1436643.4123314624
7,1436643.4123314624
8,1436643.4123314624
9,1436643.4123314624
10,1443690.9136630886
11,1443579.0269865624
12,1442315.711077611
13,1442037.8458426213
14,1449520.0325474944
15,1460782.263641164
16,1453055.7938017151
17,1469530.142230845
18,1469895.2431052034
19,1474360.5947719975
20,1482824.3891475955
21,1492847.2786540387
22,1488432.7531935992
23,1487625.3662362713
24,1484490.412161579
25,1483933.8084002123
26,1488769.184735477
27,1466943.120235172
28,1466612.5535444366
29,1466612.5535444366
30,1466612.5535444366
31,1466612.5535444366
32,1466612.5535444366
33,1466612.5535444366
34,1466612.5535444366
35,1466612.5535444366
36,1466612.5535444366
37,1466612.5535444366
38,1466612.5535444366
39,1466612.5535444366
40,1466612.5535444366
41,1466612.5535444366
42,1467177.2529167193
43,1481179.38380119
44,1499795.3329707934
45,1492721.2915451843
46,1499237.0599648461
47,1505918.750133066
48,1510749.6339855706
49,1504659.4523381116
50,1504101.5576953962
51,1507448.179996486
52,1506590.4083836898
53,1509745.916336893
54,1531477.165987911
55,1536544.2902386195
56,1540192.9426478266
57,1518345.8646180606
58,1505493.001902514
59,1528231.394715965
60,1552117.150319066
61,1627953.0032625285
62,1621372.0963833313
