,0
0,1621372.0963833313
1,1658400.2992495093
2,1675206.3047670242
3,1689944.5477016233
4,1686738.758026177
5,1685078.8553824425
6,1682363.8505882006
7,1702534.0349073813
8,1707125.5121103358
9,1712804.5456245628
10,1702079.5365387707
11,1747074.6581011745
12,1745269.0600272375
13,1797865.0092031653
14,1808661.6025381614
15,1745997.7851619432
16,1745144.8504692914
17,1751314.4993472747
18,1784345.8726522548
19,1757914.2091930762
20,1789439.604950677
21,1788744.581177782
22,1801316.6435561434
23,1809360.4007912679
24,1805067.1816028396
25,1804164.6497061902
26,1804164.6497061902
27,1804164.6497061902
28,1804164.6497061902
29,1805564.9908645893
30,1792972.2522849988
31,1800262.6091445705
32,1791821.2291668812
33,1798867.4922911145
34,1806816.8227610867
35,1796790.7168376194
36,1753546.4381550911
37,1794409.6018654956
38,1799418.6721347822
39,1770985.629292312
40,1791827.991825093
41,1810633.0804210186
42,1862669.772384812
43,1865521.939851643
44,1903384.180594663
45,1858421.3736789394
46,1905087.8945526339
47,1889987.5362347013
48,1942220.9668539034
49,1929954.9118168158
50,1960184.8576506143
51,2007113.3240692676
52,1989230.7117461027
53,2028530.8908792662
54,1990949.2268679156
55,1989246.7457541772
56,1997464.0189289565
57,1979270.3936180382
58,1942908.6844133
59,1929023.0928957032
60,1940369.4850241607
61,1888031.0839961825
62,1887087.0702534576
