,0
0,-17390.781619843794
1,7799.948404168477
2,821.0579931817483
3,10233.929074380314
4,-4717.811691488372
5,944.5189968247432
6,3376.4329755334184
7,-7567.371994531248
8,923.9967000125907
9,15573.744828234892
10,9025.035403728718
11,-1714.2559100119397
12,-1373.0118418196216
13,-1651.9447796852328
14,-7147.372393021593
15,-6560.838425503578
16,3478.5697533113416
17,5688.8907203194685
18,9368.585021200357
19,-4919.11532461131
20,-1087.80661228369
21,2409.074517408153
22,4513.176719722338
23,-1753.2979666662868
24,13469.687582088169
25,8130.258871557191
26,2145.370967870578
27,3842.8681562379934
28,5033.940967933042
29,6852.651090403786
30,2912.394946474815
31,2509.786874181358
32,234.00726433028467
33,1805.2947949822992
34,-1859.6033463920467
35,4833.313821597956
36,3023.0318779088557
37,-1968.8007178886328
38,-5021.450555657735
39,-3903.562120820163
40,-2830.2257731209975
41,342.71895205951296
42,1199.1540842980612
43,1468.5926650997717
44,10387.060411037412
45,-919.4497860260308
46,887.8673308901489
47,16480.630335835274
48,-2284.150483000558
49,1663.0152385546826
50,27003.619190873113
51,5529.949444504688
52,-5067.779405097477
53,-10261.960214415565
54,-13719.179596110713
55,6101.42416486633
56,4000.2928085995372
57,-4912.3753106635995
58,-16123.982965181116
59,5374.159585134126
60,18748.78797061625
61,10570.991787894396
