,0
0,1284442.2004370296
1,1287117.915366537
2,1302225.3045187267
3,1330173.3163918096
4,1324989.5268942488
5,1300545.837814351
6,1274627.991143266
7,1270948.6395788067
8,1278148.78391865
9,1322592.887473885
10,1315777.3415603624
11,1338423.7220237001
12,1334364.9334024969
13,1336084.799508698
14,1362363.2985080718
15,1373532.599858897
16,1389701.6094463014
17,1392765.4662385276
18,1403467.4207550674
19,1415734.9281751208
20,1426465.5855046387
21,1456614.2243132654
22,1457368.5779971818
23,1494383.8100779406
24,1500377.9117272813
25,1482768.2594322793
26,1475758.814410002
27,1402553.7724979643
28,1414985.910985502
29,1418771.2901014106
30,1449118.0267079256
31,1450125.735820396
32,1447152.3148132395
33,1445948.2060778916
34,1449200.3165604495
35,1456683.2594485157
36,1417007.9930008517
37,1428074.492671481
38,1407378.7495537624
39,1421125.3547859692
40,1435327.850456297
41,1437013.4602924273
42,1452285.4919726565
43,1463921.6542034042
44,1483389.999387159
45,1465678.9977638456
46,1470484.616844153
47,1460850.0412321233
48,1470137.8680759007
49,1466104.3685818505
50,1471189.1467901117
51,1497487.9388886457
52,1486250.91913784
53,1490731.9587210284
54,1497162.1678739658
55,1508924.7188479507
56,1510265.8298900784
57,1507333.4872236855
58,1494595.2339559817
59,1508760.5647626957
60,1496184.1306587334
61,1523350.9261045658
62,1513659.7349889118
