,0
0,1000000.0
1,999994.629943264
2,999964.7765734679
3,1000179.6971740301
4,999936.0426860783
5,1000084.1755153433
6,999328.6296905937
7,998753.9874288318
8,998063.9587946987
9,997582.5412501179
10,997735.0451914287
11,999599.215293103
12,997340.7035742472
13,995970.7571708462
14,997213.7167793321
15,996235.2753970842
16,996491.8361257637
17,997698.2678741165
18,997145.7567347445
19,999102.3345274649
20,997776.2173954915
21,996387.9863270357
22,996431.8296762671
23,998560.0888568292
24,997542.0383997906
25,998520.3648691529
26,1000582.9714325257
27,1002542.323950466
28,995986.3940124784
29,995835.6265850547
30,993077.5521779575
31,994151.7929964924
32,990116.3174594076
33,985328.095234566
34,983275.910718702
35,982521.7222046047
36,980171.3695031983
37,977171.0914625966
38,976814.3804318414
39,975499.6857312014
40,975581.4484429016
41,974357.3149051823
42,967891.398135897
43,968522.0579038947
44,973765.825122437
45,968780.2575334327
46,967578.5271397098
47,966314.1216606562
48,973887.7241360706
49,977196.3945356418
50,980129.7976270497
51,981445.7774942265
52,984951.1141206457
53,986210.4728670949
54,997226.2974642986
55,999661.4500913008
56,996697.1129274878
57,1006925.3734880774
58,1001838.8902197524
59,1005587.7493086823
60,1007629.8082313717
61,990435.4515285492
62,974227.7984723535
63,987701.9575600247
64,1000334.860548749
65,1032684.6118133914
66,1037642.3055589353
67,1038081.0662940862
68,1013862.8649783701
69,1011738.3182147936
70,1047482.7652392667
71,1049784.0475822939
72,1062800.195804336
73,1059100.2535386763
74,1057400.0032760394
75,1075927.2499918987
76,1109742.2667991933
77,1063793.7230511904
78,1067048.4148460412
79,1081863.6333749436
80,1099257.2752228987
81,1124184.127500358
82,1097325.095736374
83,1097227.33112999
84,1114750.1688203986
85,1134821.28533192
86,1134138.8031203682
87,1189072.9971607297
88,1202310.5831574087
89,1202593.4485068682
90,1177576.0361981792
91,1176064.6448146824
92,1168215.3307082627
93,1178742.006873531
94,1124611.426651623
95,1111396.90610356
96,1138336.6069046766
97,1152778.3213260549
98,1180028.559349254
99,1235056.5824256921
100,1205826.707775519
101,1209799.9103353976
102,1214169.40525333
103,1197756.6668686557
104,1182176.2348265378
105,1178378.010483592
106,1196048.927471251
107,1242604.9858093327
108,1252888.28973796
109,1216270.7946106521
110,1227869.7266878383
111,1211248.433520655
112,1208847.7590306012
113,1241843.9665162005
114,1274197.4614313804
115,1286165.4075871233
116,1275130.677066417
117,1232688.0400966017
118,1238491.4810793896
119,1213745.7058563419
120,1197476.7148123633
121,1203738.3950694485
122,1158918.3616137523
123,1163669.3987074639
124,1173850.2734778565
125,1166149.1394617788
126,1166542.6456736978
127,1180644.8911366956
128,1192015.8641401902
129,1205889.8587627632
130,1166864.1829566928
131,1153700.9268276342
132,1135076.7039541274
133,1133091.0062913292
134,1128365.096078187
135,1121867.378096473
136,1125603.4361388138
137,1133497.001214427
138,1150614.2534525995
139,1176308.1240376784
140,1183928.011211054
141,1174138.574260855
142,1202710.7650191244
143,1218496.9361133333
144,1194489.9651977883
145,1214888.6432873546
146,1213405.9979561896
147,1213799.6288004168
148,1210664.7581421006
149,1186186.955267979
150,1208005.7650417974
151,1235210.7775138894
152,1280906.2522063632
153,1291817.4281523847
154,1297165.9584617927
155,1288483.1418886548
156,1275523.7060307546
157,1274337.2842700344
158,1248898.0588474232
159,1241720.7148274598
160,1271560.731251791
161,1291387.3104525956
162,1258851.5123643177
163,1269792.161913737
164,1251088.1861153666
165,1255621.6936087855
166,1309122.57556382
167,1348518.0383538604
168,1331429.221167239
169,1325630.6794005714
170,1334784.726063085
171,1373472.43288529
172,1352562.379011347
173,1330551.3125093703
174,1270511.6712310356
175,1262831.1639987554
176,1296935.713228453
177,1310469.9644084962
178,1312386.7362866343
179,1319998.9753408218
180,1331255.4887531053
181,1315690.869542004
182,1309991.517796759
183,1323365.3815972845
184,1345970.8639014869
185,1333056.9211534755
186,1330808.9795922132
187,1330492.724427561
188,1349516.7442843786
189,1336454.7212444288
190,1303490.081855084
191,1308945.0891879466
192,1321028.2790612427
193,1332295.1400269833
194,1333321.2260690685
195,1308922.5432501903
196,1294125.0226949155
197,1307713.0411491646
198,1356401.735586695
199,1345769.1544511393
200,1375389.7062701327
201,1367847.560740372
202,1407456.8821523595
203,1397661.866175492
204,1447444.545120196
205,1423375.247240292
206,1409209.7794998656
207,1421662.379806634
208,1399857.4452896398
209,1410682.7383553123
210,1390864.2361194927
211,1411634.018619372
212,1372814.949987292
213,1348695.2107393022
214,1302757.8210969702
215,1293596.3089824128
216,1277991.9382631679
217,1293343.251101243
218,1294278.9706912523
219,1315029.6729574993
220,1319172.096549659
221,1307334.1353948645
222,1345453.0086075442
223,1340815.5892056578
224,1361393.1726441388
225,1309232.6595795033
226,1314677.154371463
227,1347130.2695213521
228,1333365.5416334164
229,1344809.07572893
230,1323242.7004677001
231,1316060.1700212285
232,1341792.4534459645
233,1329725.9082926295
234,1338311.538203125
235,1307881.8162175645
236,1315813.132749639
237,1322060.8986625234
238,1342648.6436139147
239,1341082.5237262445
240,1323954.0419971268
241,1323457.4826000612
242,1324441.0739009818
243,1305263.7934802258
244,1298343.3823760033
245,1308564.833629567
246,1300553.949406429
247,1305863.5062784387
248,1298472.0498173016
249,1312587.6983442607
250,1286135.9978276372
251,1292033.892924836
252,1288435.6923948624
253,1287314.4492401541
254,1297102.4842587104
255,1302495.7564332662
256,1318309.5322918224
257,1317743.7416399217
258,1319842.4223185056
259,1312472.6313657074
260,1348532.9168374909
261,1348029.0866136518
262,1354919.674304388
263,1352467.4427854773
264,1369573.8057380603
265,1386010.2452001288
266,1419633.0241845471
267,1450205.0268956642
268,1450038.8510965263
269,1443630.8455241588
270,1464626.6777990623
271,1466172.2415063952
272,1473690.6881149106
273,1471412.1554934203
274,1443456.5490505334
275,1429166.4571761729
276,1422040.7395332789
277,1424250.3734549582
278,1403884.6640627745
279,1376166.389083761
280,1376276.73530472
281,1385557.9922558223
282,1400474.5003632028
283,1418702.009476573
284,1414716.9754956155
285,1379639.6588371294
286,1347061.337334538
287,1336616.2704380946
288,1355978.8343789326
289,1355663.5087466317
290,1362715.213506578
291,1364010.1659126899
292,1358933.0898549252
293,1374841.523976692
294,1381843.9022323552
295,1381928.4015904507
296,1381072.7715556833
