,0
0,1214725.4363267927
1,1194725.4454742621
2,1214502.8190998333
3,1210957.2204009562
4,1208825.0977234275
5,1221223.490986151
6,1220030.1152268276
7,1221787.7781756513
8,1222146.3162390827
9,1231218.571994211
10,1238260.4469554434
11,1193630.5952213162
12,1163354.4191412977
13,1188999.5633397743
14,1174963.1115714451
15,1185095.608132973
16,1183079.6120150455
17,1199071.5281880836
18,1198651.0163069805
19,1193652.6112219125
20,1192418.583823973
21,1183874.8287211917
22,1205459.4987920723
23,1200514.7075700765
24,1212366.6490461803
25,1211114.261473467
26,1220308.773469506
27,1211970.4168913744
28,1221784.381980997
29,1212093.710728493
30,1203995.8848393974
31,1189279.3204297633
32,1173820.1310494924
33,1173406.48464707
34,1197435.4480183562
35,1232423.2613793341
36,1198345.7130895276
37,1192371.710053443
38,1204050.2408423673
39,1179809.571918679
40,1175600.4950469472
41,1213831.734917381
42,1220654.4663459042
43,1231993.3352647224
44,1236814.84474207
45,1226610.5135269458
46,1222534.5513731271
47,1236252.7306970772
48,1249821.8311103566
49,1317502.721731425
50,1277388.424202797
51,1297867.7461859558
52,1273830.9397804495
53,1324836.8039054591
54,1334475.3164178664
55,1325706.0383986856
56,1335114.5720193782
57,1407837.8623884935
58,1406977.59224898
59,1384948.7558676226
60,1421736.3657987206
61,1426535.5138516389
62,1451180.7559106515
