,0
0,1000000.0
1,998982.5717937482
2,1002647.0502810504
3,1008616.6681586667
4,1001202.4896177761
5,1002857.9978164481
6,994637.9363242256
7,980983.2888086797
8,970530.1107124927
9,955515.2063460681
10,956758.84370831
11,968564.8588255418
12,951985.9286339884
13,930370.1825860905
14,930233.5283340889
15,928372.5046518408
16,923712.1289483382
17,949899.6824027434
18,954372.9323327728
19,972952.2882062718
20,947002.9666400682
21,953506.6373458699
22,939047.7000150632
23,960777.3724476739
24,988026.7310449682
25,988644.1312670144
26,1024343.9016209155
27,1042625.9372907066
28,1003625.3467519454
29,989899.654436625
30,981982.924496517
31,997277.3524389035
32,973424.9422763027
33,942707.1268190726
34,929868.1292528514
35,937986.4591655437
36,916965.3126449476
37,911222.5352673753
38,910548.2400955418
39,892485.2171370088
40,907719.0627078306
41,896418.0042679554
42,864376.914887621
43,834732.4874131613
44,849355.1673068507
45,808297.1239262596
46,822146.1794142625
47,825126.3858112154
48,849663.1499633313
49,848457.4960001361
50,842882.6605687136
51,841347.6573231007
52,846741.2626659003
53,860605.5835227421
54,887922.7015275501
55,905569.6680074905
56,900223.5466166337
57,925926.5218851599
58,918414.8124598351
59,917480.723460441
60,919345.7736547908
61,889459.5163186273
62,864527.0015031913
63,883346.2666912714
64,905224.3486943846
65,944961.0101549253
66,950909.4452898318
67,953504.8515763447
68,923439.4293408901
69,918686.0647640682
70,950642.720543052
71,953251.0603267981
72,964616.256013756
73,963022.9969122522
74,958071.5809352276
75,980025.0324587901
76,1013297.2057125443
77,972399.1949164801
78,973809.2944788223
79,984623.6583937963
80,1001345.9676683361
81,1023497.5941138861
82,1006553.3363097492
83,1002708.4396834883
84,1022929.628036542
85,1042384.5960338316
86,1038022.3516820639
87,1084711.3548270399
88,1096152.9118476661
89,1096049.5693002956
90,1077346.1047187343
91,1082185.370592163
92,1076717.6006401025
93,1087152.1367601485
94,1044643.3506830998
95,1030539.4206366204
96,1056203.631494804
97,1069458.8071986083
98,1094300.4496214495
99,1144957.9345129821
100,1120756.8135064025
101,1123308.7871051785
102,1124282.078401354
103,1106239.5151480539
104,1094892.8335420052
105,1086838.122367646
106,1106544.5852757797
107,1150369.9269731364
108,1161464.798904546
109,1125850.6780806729
110,1135956.4916983584
111,1118648.2690423562
112,1118161.2828035469
113,1154450.6067434545
114,1185127.8572405078
115,1194677.8749708
116,1183232.9878998727
117,1144323.3101149504
118,1154746.4665577656
119,1132651.289794578
120,1117703.4123198125
121,1132497.4551695022
122,1085356.2569764701
