,0
0,1163327.7075445622
1,1150018.538708882
2,1162984.1752840704
3,1162352.5271324667
4,1158494.8976871867
5,1168879.419534838
6,1169373.58158339
7,1170018.53722
8,1171166.5100728865
9,1182528.3231475982
10,1188418.9085752957
11,1162664.569433192
12,1143971.573617151
13,1159465.6856981919
14,1157475.7316302073
15,1161097.9376640718
16,1158057.2211582838
17,1161828.5054323187
18,1167216.0264755895
19,1171575.0579032751
20,1175763.660729357
21,1160839.0891152709
22,1174118.8197568166
23,1163771.675506293
24,1169312.6220160741
25,1169209.2298351924
26,1176682.0241298054
27,1175824.1570110978
28,1188596.2499708347
29,1183963.3872039777
30,1180178.1788202163
31,1174275.7614367201
32,1171407.1461541273
33,1184481.0861269024
34,1188938.6295901104
35,1204817.073916109
36,1195447.7149956122
37,1188485.258265902
38,1187243.075226273
39,1189928.1889396084
40,1195899.9270054055
41,1213085.7390519907
42,1216751.7329882798
43,1222393.513446369
44,1227130.7771460905
45,1217402.4394509313
46,1219336.8883903373
47,1225452.520414916
48,1228833.597779768
49,1249359.3718276313
50,1227462.1004732514
51,1234929.3629542526
52,1226769.2771211218
53,1249870.97600821
54,1252201.8440635626
55,1249606.8653858844
56,1254522.895471704
57,1280612.4524734078
58,1283098.5232823621
59,1271601.6225939656
60,1285177.4866184879
61,1300835.2048575284
62,1300660.241357242
