,0
0,8523.283397159306
1,10713.956833013333
2,-162.71909911674447
3,-5735.125401192112
4,7356.365101380041
5,-6019.7102055393625
6,9374.246803377056
7,-2147.374727480812
8,7057.139585758792
9,550.7295962430071
10,-3691.387842671713
11,-2137.414573655231
12,-3746.314128391212
13,2482.609364128206
14,5968.7233563291375
15,13011.90326913516
16,-28197.646817350527
17,-7018.494102464756
18,-2453.3496200658847
19,8987.670117134927
20,5456.37794485176
21,874.3208051263355
22,521.8703010361642
23,-7478.566371338675
24,11570.236534238094
25,-6089.799039485166
26,-13213.035010733875
27,-819.0785650850739
28,-3078.8462988445535
29,13563.565204841783
30,7692.536496527027
31,8404.126025773352
32,-6155.336791218026
33,-2234.5880633306224
34,4309.426917196717
35,-126.52095852955244
36,-2597.2989211305976
37,-6948.832701787818
38,11299.866540118353
39,3459.3480073369574
40,4743.23248780705
41,5848.765096749878
42,1451.842577544041
43,-3485.8984747414943
44,2752.798644137336
45,-1552.0275839690585
46,-3583.1306504257955
47,-745.2201015944593
48,12471.735149144428
49,3556.812565741362
50,8374.240262783132
51,-1194.6320827999152
52,-17525.306850363268
53,-29773.657137857517
54,-14264.653558471939
55,-21987.748449728242
56,9756.628582544974
57,-17893.437558846315
58,19252.654663987574
59,42915.16049220681
60,-2438.380336844595
61,6337.385935631581
